date,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2022-01-01,1912584,2878935,2307889,20842,180743,189593,802365,1463478
2022-01-02,2128552,3381019,2303320,21030,180074,204715,806758,1195363
2022-01-03,2459432,4425180,2315714,38416,191268,222241,859662,871524
2022-01-04,2355198,4137802,2319663,30395,212797,219654,879475,1795770
2022-01-05,2379093,3840373,2312152,21056,207176,213592,818417,1663245
2022-01-06,2534351,4019147,2316139,23637,203026,229345,837375,1444836
2022-01-07,2926958,4587305,2300631,43759,212190,239220,853959,1030288
2022-01-08,2731554,3618158,2282724,51357,211786,226526,846439,1801530
2022-01-09,2430236,3137106,2275759,49772,199302,193292,778258,1599670
2022-01-10,2852150,4022509,2286093,45135,217160,213848,811513,915799
2022-01-11,2855296,4266127,2299506,83125,194907,249379,853855,1293244
2022-01-12,2814051,4045111,2321240,72139,184699,235845,821764,1214196
2022-01-13,2748219,4147500,2315781,39659,155856,210333,801553,713093
2022-01-14,2657991,3640711,2309240,46091,156152,236676,795485,1093796
2022-01-15,2602631,3453168,2261929,75753,173438,152268,840859,1628544
2022-01-16,2963008,4079525,2264882,112405,177811,188863,837521,1015385
2022-01-17,2973438,4127160,2261733,74320,206084,214524,828925,935929
2022-01-18,2806544,3714814,2261991,57582,206424,241233,818862,1556756
2022-01-19,2683335,3467346,2265630,67951,191659,232337,799830,1725581
2022-01-20,2976544,4041024,2281226,45330,206336,191323,804704,1286895
2022-01-21,3288051,4887980,2303554,97191,227341,202662,835381,1086743
2022-01-22,3192005,4535439,2295461,102874,217434,205823,858952,1099311
2022-01-23,3038940,4171215,2282420,72513,222087,256964,805152,977085
2022-01-24,2974856,4094911,2268733,71632,231478,294950,817788,1121280
2022-01-25,3042839,4144488,2243939,67163,228626,228937,788717,974240
2022-01-26,3206324,4420117,2257455,62590,234798,244969,794732,1046619
2022-01-27,3208628,4213712,2196818,97744,196373,257338,844211,1166875
2022-01-28,3173640,3935235,2170940,56995,184347,228017,816815,1122916
2022-01-29,3246850,4055724,2191299,71905,192065,243743,771240,1033694
2022-01-30,3244427,3699975,2190030,93680,191822,286538,786405,980565
2022-01-31,3145439,3672744,2192099,105904,195743,231131,746392,1055232
2022-02-01,2713159,3313902,2189137,85171,181674,236374,731765,1682932
2022-02-02,2660965,3353670,2181098,41626,171893,206981,750541,1652403
2022-02-03,2819991,3708037,2160702,25769,170119,202949,744476,1533235
2022-02-04,2974013,4120478,2161436,34090,178802,232474,801012,1182173
2022-02-05,2878397,4001676,2143404,40821,191230,291909,771127,1282711
2022-02-06,2760071,3545222,2112834,36301,195818,278062,813811,1532329
2022-02-07,2989816,3875418,2103487,36301,193885,256037,804858,1028543
2022-02-08,2709538,3895876,2193765,28321,210163,271994,759243,1406684
2022-02-09,2509682,3832953,2227655,26798,207770,343749,735135,1374407
2022-02-10,2469956,3758435,2241796,23259,209441,338390,736883,1172181
2022-02-11,2153009,3141269,2108247,20719,172409,303104,760435,1751063
2022-02-12,2235971,2902158,2114398,21418,153293,277977,726797,1453689
2022-02-13,2580360,3612020,2155501,22104,171483,295364,755847,840799
2022-02-14,2820185,3846098,2156527,47363,200064,327853,797313,1051889
2022-02-15,2632108,3477555,2150753,65252,191418,252024,807898,1697926
2022-02-16,2333355,2847065,2143896,46197,172010,249031,753445,1993974
2022-02-17,2240339,2708203,2144720,22378,152563,234437,753881,1891073
2022-02-18,2513165,3419904,2124105,26209,150456,314771,802202,1270061
2022-02-19,2462459,3475519,2119014,25486,153877,330117,805681,1296908
2022-02-20,2096523,2982450,2189669,26035,177492,308309,775206,1886314
2022-02-21,2126987,2865742,2189877,19275,195623,249405,786519,1889019
2022-02-22,2222359,3038391,2174672,16107,191660,259857,794977,1824705
2022-02-23,2474339,3673154,2179483,25007,188978,241251,810542,1510691
2022-02-24,2824666,4848462,2187523,29486,207196,271512,808417,570382
2022-02-25,2893377,4679236,2193017,39309,214921,311396,812028,614187
2022-02-26,2656092,4284640,2179729,35123,197945,314762,768231,820494
2022-02-27,2481814,3765111,2157713,17718,186010,320450,703103,933532
2022-02-28,2487839,3778441,2178170,27102,183796,344291,767097,1010209
2022-03-01,2459609,3747318,2184089,33609,167053,350130,751412,905420
2022-03-02,2357208,3626653,2145051,32418,159119,378644,789884,631665
2022-03-03,2211645,3436176,2126364,31166,152918,342305,798699,971047
2022-03-04,2036702,3261209,2141967,35314,151176,272657,866835,1577169
2022-03-05,1829801,2775607,2107015,25849,149690,267337,819848,1771969
2022-03-06,1781169,2597608,2072109,20440,146899,301385,757694,1706408
2022-03-07,2072361,3158758,2062853,21194,151839,315592,801112,1514719
2022-03-08,2268152,3959405,2064377,18728,158437,345798,816579,929922
2022-03-09,2271509,4186669,2053601,16341,169359,299198,866353,963092
2022-03-10,2293832,3868001,2067744,19335,172253,316241,887208,1107155
2022-03-11,2228979,3620678,2055749,24830,153232,302978,879305,1472107
2022-03-12,2342054,3871495,2027326,20835,150507,363061,850456,1326659
2022-03-13,2237052,3482002,2030585,26988,174016,320508,858823,1775693
2022-03-14,2040313,3184310,2042562,26851,176055,364727,851317,1757119
2022-03-15,2066575,3278824,2035815,26412,167421,336376,839437,1188485
2022-03-16,1862118,3094866,2035324,19430,170553,324902,797582,1472905
2022-03-17,1781325,3000224,2029643,16183,173730,322920,857497,1549200
2022-03-18,1750508,3004178,2024247,21598,164856,350525,853961,1497021
2022-03-19,1868479,3129058,2035143,15534,176817,304361,785383,981355
2022-03-20,1661806,2664844,2030330,14465,197148,309139,704785,1522222
2022-03-21,1588458,2791346,1989803,20488,208637,372675,812069,1825584
2022-03-22,1708442,2940117,2007077,21581,172270,327209,824715,1717751
2022-03-23,1683409,3136628,2039156,25101,174504,301200,824520,1758183
2022-03-24,1885610,3457667,2034557,23848,187089,337421,789910,1315334
2022-03-25,1897912,3439603,2030423,23422,185260,419861,851022,1007270
2022-03-26,1809106,2950541,2023697,22055,173383,419087,775093,1286647
2022-03-27,1819983,2966812,2007826,22427,169682,419186,723287,1321668
2022-03-28,2018084,3512361,2000096,26121,184217,357186,833823,1387072
2022-03-29,1855335,3391566,1992087,33194,181107,320239,834974,1950366
2022-03-30,1782406,3170652,1994572,27452,174175,319313,815481,1984719
2022-03-31,1872676,3405295,1987629,20662,169187,337590,798184,1386235
2022-04-01,1936458,3306453,1987142,22677,168653,386207,830287,1224480
2022-04-02,1953028,3179308,1931955,21667,168794,397729,743843,1028636
2022-04-03,1771238,2784837,1912072,23196,162752,377428,733514,1372219
2022-04-04,1937696,3235516,1874059,25834,169580,376833,775228,1335877
2022-04-05,1902805,3501321,1858307,26800,174562,311187,762096,1466340
2022-04-06,1793412,3330589,1850328,24573,175108,366230,795791,1792570
2022-04-07,1761819,3318216,1855827,25408,164351,399137,818529,1702740
2022-04-08,1867835,3313157,1855231,22805,165965,448586,784760,1458069
2022-04-09,1877191,3118320,1826049,23640,157761,365684,701931,1468047
2022-04-10,1695693,2781410,1810494,22721,159123,403859,649608,1798212
2022-04-11,1912864,3287655,1781646,23265,172957,409785,719546,1407375
2022-04-12,1864907,3322632,1799759,23494,168598,345483,708178,1691676
2022-04-13,1848850,3287057,1820349,23290,175840,355559,704398,1787203
2022-04-14,1883969,3515682,1823976,22963,176578,385640,712755,1455100
2022-04-15,1821514,3027044,1825112,22873,171184,399784,677975,1636849
2022-04-16,1807099,2936429,1824417,22058,172101,339607,659005,1486764
2022-04-17,1901298,3067436,1831665,22761,168588,392630,638252,1039075
2022-04-18,1968930,3508394,1830532,23772,180150,368133,702762,1247203
2022-04-19,1978153,3298697,1834870,24788,184067,372320,711983,1701050
2022-04-20,1875794,3215998,1845328,24178,177943,415545,704187,1762384
2022-04-21,1993644,3325534,1851816,24720,181716,397750,667403,1478803
2022-04-22,1884430,3142853,1854891,23001,176692,354734,672053,1845576
2022-04-23,1753646,2735128,1828961,22910,178959,400547,603131,1960518
2022-04-24,1749229,2787706,1836521,22920,183081,431391,605689,1650480
2022-04-25,1902118,3390673,1859367,24996,184010,419203,647279,1438975
2022-04-26,1986044,3621340,1871920,24077,187652,396140,663388,1101226
2022-04-27,1873115,3256748,1879163,23643,184597,427708,637899,1551171
2022-04-28,1891938,3192135,1868804,25034,174494,432364,665346,1668912
2022-04-29,1772527,3114457,1890872,23523,173454,421732,635365,1864424
2022-04-30,1706770,2965644,1892886,20372,165676,413920,614313,1684077
2022-05-01,1744216,2917614,1920429,19169,165520,375263,601639,1509896
2022-05-02,1847104,3486179,1953636,23456,179765,419371,653878,1503294
2022-05-03,1933372,3830768,1964934,23058,179301,410557,655702,1329876
2022-05-04,2064433,4038085,1955429,22375,185107,412841,699734,954429
2022-05-05,2125764,3864451,1956900,22909,187026,413849,701182,1070297
2022-05-06,2148749,3923062,1969430,20131,178996,414891,691732,898522
2022-05-07,1851371,3251281,1975708,6823,171080,418316,599407,1505387
2022-05-08,1797400,2911544,1974589,4177,173024,415807,616746,1673826
2022-05-09,1868560,3206564,1999437,5756,170831,483519,680784,1900650
2022-05-10,1996605,3612879,2014886,6551,177986,456500,753870,1666503
2022-05-11,2050612,4019088,2025362,9499,184095,419451,791431,1435451
2022-05-12,2005673,4001873,2031871,6774,194784,415603,790328,1654085
2022-05-13,2035357,4189542,2024810,7623,198807,444974,800562,1325655
2022-05-14,2066693,4258252,2002758,6753,184269,466154,760155,825365
2022-05-15,2040165,3979971,2030679,5382,173162,460471,738632,1006212
2022-05-16,2184275,4155446,2050896,6412,183114,482264,750440,1110035
2022-05-17,2094998,3914564,2085151,4741,191665,473564,746732,1503238
2022-05-18,2192853,4074474,2058779,6196,187061,486776,768686,1248382
2022-05-19,2253793,4314855,2092488,6268,178250,477884,806576,1377362
2022-05-20,2245453,4107558,2128865,7782,189985,456582,798734,1774128
2022-05-21,2205945,4042646,2126090,14000,198259,421415,801875,1382754
2022-05-22,2139040,3694949,2137190,13613,187627,410494,784407,1054676
2022-05-23,2169124,3846675,2115987,7927,175107,403683,773965,937014
2022-05-24,2147720,3763315,2084920,10211,173715,406489,822566,1018662
2022-05-25,1979944,3605562,2089747,11553,171318,400913,833641,1407049
2022-05-26,2054516,3871879,2102249,8908,171454,447961,889200,1101497
2022-05-27,2184232,4026857,2127971,14985,170671,439079,917996,934721
2022-05-28,1877087,3286449,2128419,16162,165314,432534,841171,1549801
2022-05-29,1819023,3075965,2130359,16562,175571,425381,813854,1852071
2022-05-30,1993897,3361142,2131745,19007,185664,456637,841487,1938751
2022-05-31,2420909,4243298,2166496,27491,204179,482415,921294,1684398
2022-06-01,2525548,4769581,2172888,24670,207139,483040,913121,1132936
2022-06-02,2496875,4701248,2182249,23844,188921,426315,904563,733583
2022-06-03,2394398,4387943,2171289,24191,182767,432343,898024,760734
2022-06-04,2218781,3730013,2179862,23887,178603,438793,852077,832426
2022-06-05,2089791,3497544,2199787,19155,179806,456096,827962,1116281
2022-06-06,2344834,4177306,2206461,24021,193811,487236,868188,1063347
2022-06-07,2445589,4617069,2206021,24110,190207,489583,926768,854062
2022-06-08,2428259,4694334,2208519,23250,193551,436849,968422,1014430
2022-06-09,2508917,4895784,2214558,24085,189128,449955,985740,720743
2022-06-10,2378277,4694812,2210808,24068,191410,473723,965416,784439
2022-06-11,2278996,4344088,2207208,23003,184470,465695,911514,971901
2022-06-12,2368051,4265209,2184282,24078,189752,463824,897871,1219052
2022-06-13,2600918,5013702,2186777,42500,210326,447509,907370,1677164
2022-06-14,2737108,5110025,2188391,30207,217340,428235,922197,1827203
2022-06-15,2838319,5263622,2178565,31739,234853,492637,965843,1594380
2022-06-16,2940175,5407951,2182502,25078,234765,481717,943380,1449483
2022-06-17,2897105,5491969,2184988,24005,223378,489186,916001,1223005
2022-06-18,2456610,4419347,2184077,22780,190278,454111,816199,1433838
2022-06-19,2171278,3693393,2193385,17660,182448,470005,770458,1513697
2022-06-20,2374073,4158318,2202306,24246,179763,495880,855861,1521972
2022-06-21,2727745,4988844,2222782,25361,184808,503187,882699,1302805
2022-06-22,3082151,5637727,2221021,23909,200588,430942,935908,805401
2022-06-23,2880259,5514699,2230397,23965,199658,464997,933277,924185
2022-06-24,2670293,5429324,2236092,22430,205309,492838,928986,1203985
2022-06-25,2421855,5295215,2176039,20083,213578,490726,889507,1257051
2022-06-26,2281976,5101644,2177776,21408,217087,473458,863955,1290730
2022-06-27,2582722,5361839,2181679,17569,210897,456808,917126,806308
2022-06-28,2565702,5225670,2191198,18576,204704,474185,897907,754584
2022-06-29,2511085,5281284,2225357,20850,207423,450786,884139,977175
2022-06-30,2594442,5305042,2228472,24034,218077,471830,915190,1283479
2022-07-01,2776651,5549630,2209631,26365,238141,460639,920413,983434
2022-07-02,2663181,5206542,2227456,19478,221186,472796,838239,806841
2022-07-03,2552837,4817416,2241257,20887,213728,453181,782439,1000510
2022-07-04,2472759,4596946,2244745,19134,219817,463197,825891,1323836
2022-07-05,2805894,5325114,2238497,22517,230037,467258,865893,1259663
2022-07-06,2944659,5816915,2243072,26550,230324,471454,893706,1011456
2022-07-07,2956627,5852250,2254395,28269,222802,486229,905965,765364
2022-07-08,2919135,5943115,2258520,26185,223281,466706,899045,707728
2022-07-09,2674434,5517367,2245254,20596,206543,452614,870461,723139
2022-07-10,2511838,5064436,2255475,23110,201966,436342,819137,875659
2022-07-11,2696862,5561107,2266128,29239,215461,456155,874618,933072
2022-07-12,2854089,5898229,2246832,25425,232158,471795,906346,1008363
2022-07-13,2993720,6117768,2221798,26344,243941,427727,896785,650512
2022-07-14,2820162,5944717,2224343,21307,244231,416191,877332,847539
2022-07-15,2757796,5654861,2240054,22270,240952,439342,848824,896691
2022-07-16,2716146,5471260,2239897,20527,215631,468397,770573,822846
2022-07-17,2706784,5491581,2238766,20631,225234,452721,751452,714541
2022-07-18,2878058,6151627,2236488,23250,249643,442050,789369,787249
2022-07-19,2895611,6138305,2205769,42480,258357,457900,826954,1279461
2022-07-20,3091864,6311860,2201091,61776,270870,451677,849301,1284249
2022-07-21,3228928,6492673,2198378,82889,271079,423416,818969,998575
2022-07-22,3195841,6101050,2202533,50932,274930,446910,817117,1111537
2022-07-23,3020342,5482818,2206240,33608,255703,437859,762939,1418930
2022-07-24,2994178,5345614,2214494,40026,249952,441179,717109,1302200
2022-07-25,3137463,5888303,2231093,31416,257701,431428,771789,979827
2022-07-26,3087801,5601004,2213857,30756,250934,419927,762401,890098
2022-07-27,3102702,5731942,2209267,35969,247699,429938,776188,846244
2022-07-28,3105284,5970047,2220033,33889,260702,434794,810042,882005
2022-07-29,2996645,5945820,2223810,27540,257915,435458,788262,718645
2022-07-30,2761923,5437960,2222946,18389,240613,441631,737758,712207
2022-07-31,2666885,5067435,2225381,20326,235857,403216,707662,953627
2022-08-01,2961597,5534184,2224675,23201,248096,400499,749569,1047810
2022-08-02,3024248,5675519,2227072,29806,250512,446166,745708,1346945
2022-08-03,3021530,5827358,2227447,33388,252927,440421,783441,1473101
2022-08-04,3100641,6145880,2207366,36911,264168,397793,762459,1081252
2022-08-05,3060502,6180244,2207756,29756,252473,401699,766029,932257
