date,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2020-01-01,1641874,3394765,2366826,28762,137159,119442,647726,1302604
2020-01-02,1772003,3431645,2294352,30907,146823,107272,693220,1180044
2020-01-03,1829659,3640006,2263545,34351,152003,110659,722475,819509
2020-01-04,1730110,3523705,2253715,30891,163685,118562,666982,723714
2020-01-05,1579375,3160485,2265526,29771,175767,142797,700068,1225157
2020-01-06,1839935,3710188,2298005,31275,185273,143501,738191,911242
2020-01-07,1912676,3815507,2316279,34627,188682,128524,768512,830897
2020-01-08,1931211,3454665,2316509,31165,376195,131473,762305,1246260
2020-01-09,1866766,3456056,2321938,30684,251648,122646,789657,1362099
2020-01-10,1756689,3491879,2319145,29843,180387,120917,794193,1018114
2020-01-11,1591039,3102937,2299144,24783,158224,110682,670552,1243855
2020-01-12,1731499,3162128,2294285,9563,181927,114278,694674,1017896
2020-01-13,1862946,3557600,2310881,24568,198176,116773,812105,902119
2020-01-14,1882144,3643856,2308828,30184,194317,119383,833617,772243
2020-01-15,1773691,3276952,2309264,22098,427938,117260,825109,953363
2020-01-16,1826162,3536453,2309274,22520,298213,106641,827153,948731
2020-01-17,2045365,4021441,2319542,29103,202399,131153,881628,857672
2020-01-18,1917863,3542426,2317123,30912,202815,118261,803219,1052184
2020-01-19,1996659,3604628,2318702,27117,191740,114626,727111,749167
2020-01-20,2639201,4447739,2323233,28062,207172,99834,847383,343668
2020-01-21,2659138,4438913,2323382,32988,223854,117190,832374,839838
2020-01-22,2452987,3940313,2321152,29869,483343,141943,827644,1242977
2020-01-23,2356735,4061447,2300677,29108,341405,126758,825107,672631
2020-01-24,2060612,4016026,2287197,28067,185922,126331,836734,616805
2020-01-25,1827659,3529702,2282946,29803,180937,151247,805601,774173
2020-01-26,1833328,3628322,2276348,28572,185254,140219,814502,442364
2020-01-27,1982422,3845397,2300211,29198,181731,133079,835828,539713
2020-01-28,2034726,3766842,2302374,34213,187273,147614,857455,824487
2020-01-29,2076844,4237320,2303151,37036,195185,130155,881434,517472
2020-01-30,2085191,4522469,2299807,40798,189869,136174,864692,302633
2020-01-31,1940279,4288503,2290402,32222,194829,118302,845228,609413
2020-02-01,1693025,4090315,2268239,30513,170331,132083,739227,728898
2020-02-02,1473035,3483733,2247771,31084,160963,172002,755933,1126214
2020-02-03,1496122,3385087,2240710,30427,161629,162167,821706,1283087
2020-02-04,1615028,3578302,2260689,32266,164592,145718,853225,1148986
2020-02-05,1912091,4084996,2263592,34296,165714,125285,854868,817078
2020-02-06,2050669,4508994,2257997,40140,172005,141603,875050,640702
2020-02-07,1935534,4426447,2262328,33002,168125,174257,909836,816063
2020-02-08,1919715,4193063,2277068,31634,170157,168925,907142,709132
2020-02-09,1567572,3462676,2256585,33770,164536,168714,901129,1271252
2020-02-10,1812031,3978563,2216757,32168,170835,131786,938690,881741
2020-02-11,1859812,4211014,2208229,31029,170743,137710,890204,796741
2020-02-12,1878308,4311309,2204489,29629,169464,159649,900593,811448
2020-02-13,1964305,4371614,2171868,31864,170718,162261,906287,836505
2020-02-14,2181726,4648863,2130632,31857,172420,182650,934246,910462
2020-02-15,1945617,4015868,2112241,32102,172740,191217,952900,1271596
2020-02-16,1841411,3801415,2103976,31376,160312,147993,915855,694048
2020-02-17,1842468,3675389,2124091,30895,163264,172772,920765,944490
2020-02-18,1830746,3779959,2170616,32058,168885,148243,901309,1019967
2020-02-19,2116907,4240547,2175584,29494,171853,148872,876118,556102
2020-02-20,2222584,4513202,2169375,32351,162513,148494,874273,774513
2020-02-21,2280641,4668963,2194441,32984,161655,154743,923192,893014
2020-02-22,1906028,4013619,2179577,31099,148594,153531,844190,1195227
2020-02-23,1698682,3405624,2141921,28941,144749,166844,780856,1175471
2020-02-24,1806245,3587389,2144815,29171,144711,176042,824031,1100519
2020-02-25,1765141,3721623,2140409,31444,141040,175220,873043,1092031
2020-02-26,1850977,3872290,2112193,33625,142384,181316,839165,1132688
2020-02-27,2201825,4362559,2117293,29361,142644,219852,872654,743107
2020-02-28,2246475,4429893,2118293,30699,151761,179450,906409,636571
2020-02-29,1885050,3784617,2110100,31233,145762,170675,831699,1041136
2020-03-01,1621256,3280904,2114290,30457,157065,177221,839848,1264360
2020-03-02,1720996,3624321,2116882,29359,153468,160111,814379,1036364
2020-03-03,1692350,3718124,2112672,29581,161461,173006,816305,952052
2020-03-04,1726049,3796597,2080014,30855,167532,186247,802672,905200
2020-03-05,1633705,3770393,2049371,29858,169704,186235,848103,1170032
2020-03-06,1701722,4011820,2050759,29725,167454,214435,850551,919575
2020-03-07,1558385,3453936,2033518,29916,165402,197825,829640,1316687
2020-03-08,1407524,3158497,2020039,29905,163944,192452,795601,1460716
2020-03-09,1513603,3403339,2083234,28387,165080,190307,822876,1284497
2020-03-10,1681756,3955266,2042828,28804,162178,112995,826578,693222
2020-03-11,1690480,3940187,2026073,29952,159948,154172,776755,786754
2020-03-12,1640229,3772974,2016732,32609,159774,143892,791301,1071840
2020-03-13,1628055,3687481,2007084,23415,166398,144079,759059,1172989
2020-03-14,1757586,3799705,1957141,11926,163021,181487,736491,706231
2020-03-15,1750285,3712791,1954004,16331,166693,152383,720408,644122
2020-03-16,1991083,4253866,1967980,21521,169488,151448,802533,411775
2020-03-17,1908436,4104751,1975079,18193,168280,156889,758756,663231
2020-03-18,1888822,3767670,1976220,24902,440518,166065,725589,663313
2020-03-19,1749596,3718631,2024705,36570,248947,177585,704620,1017521
2020-03-20,1534825,3578174,2059420,30342,152347,191956,714971,1290123
2020-03-21,1676497,3759869,2026450,12294,152234,167679,684030,629386
2020-03-22,1584545,3697065,2019949,13625,151178,181438,677557,636780
2020-03-23,1834511,4027504,2016308,32055,147864,165089,748095,570723
2020-03-24,1696447,3890639,2007389,30925,149606,197600,768341,838661
2020-03-25,1623114,3903784,2004226,31405,149382,193667,778291,864807
2020-03-26,1570687,3685385,2027403,29693,154551,212871,776179,972694
2020-03-27,1538421,3675433,2047851,29808,147766,208629,775593,905191
2020-03-28,1313466,3232772,2016953,13773,151812,219915,764716,1292212
2020-03-29,1250193,3217885,2020606,8746,159673,192424,740342,1067851
2020-03-30,1342281,3359491,2042763,8444,162921,217994,760355,1067609
2020-03-31,1456994,3742949,2068879,11810,162459,191025,795418,717249
2020-04-01,1287500,3379729,2033334,13448,170083,199658,807712,1181637
2020-04-02,1271320,3211373,1987928,13566,168975,249137,802400,1250013
2020-04-03,1307679,3325023,1994780,7828,163808,238272,736274,1144089
2020-04-04,1391994,3441320,1966709,7196,168494,229531,708298,660297
2020-04-05,1310689,3377322,1959027,11073,159823,188305,688702,592692
2020-04-06,1299967,3361005,1954193,8480,166268,187910,704312,958742
2020-04-07,1356609,3540086,1971139,9569,179611,206251,692659,973767
2020-04-08,1460739,3831887,2002795,13408,178591,183766,717598,802535
2020-04-09,1416457,3737546,1981768,7400,178010,174307,703068,984477
2020-04-10,1306819,3455219,1993507,7819,173857,198576,678266,982430
2020-04-11,1177475,3076012,1915853,8868,183230,226480,637764,1109945
2020-04-12,1177328,2946424,1910610,15136,182749,197799,620853,1304803
2020-04-13,1282493,3321481,1910548,9935,188022,229063,681370,1256584
2020-04-14,1498093,3619375,1923107,17354,189983,251562,702403,862530
2020-04-15,1627820,3729298,1923881,12633,189527,255940,759912,676348
2020-04-16,1507026,3374416,1954487,9096,204674,242796,786194,990092
2020-04-17,1477986,3404014,1984842,9034,197746,228897,802441,899095
2020-04-18,1306845,3197676,2000238,8607,191543,209786,726160,955144
2020-04-19,1247061,2947889,1991435,9560,185627,214838,720206,1041579
2020-04-20,1447105,3439295,1960754,8685,201908,204368,796237,689262
2020-04-21,1391662,3377873,1962238,9393,201794,254001,761769,950838
2020-04-22,1354795,3207189,1979454,8731,187680,273887,780011,1208178
