period,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2021-01-01 00:00:00,105728,173416,95227,1104,8709,2629,41057,43056
2021-01-01 01:00:00,104578,173258,95213,1021,8630,107,42863,44672
2021-01-01 02:00:00,100088,169168,95223,985,8421,26,41838,47114
2021-01-01 03:00:00,95463,162166,95234,972,8007,20,38904,47932
2021-01-01 04:00:00,91602,152924,95248,966,7578,-1,35979,47808
2021-01-01 05:00:00,88622,143750,95251,331,8107,-3,33095,49120
2021-01-01 06:00:00,86899,138830,95284,955,7600,7,29859,46525
2021-01-01 07:00:00,84946,135597,95312,976,7585,18,26484,46022
2021-01-01 08:00:00,84820,131876,95303,329,8057,37,24939,45856
2021-01-01 09:00:00,83251,128662,95296,968,7463,62,23148,44340
2021-01-01 10:00:00,82583,127306,95322,337,8405,398,23165,44021
2021-01-01 11:00:00,83163,127819,95309,975,7613,378,23419,43603
2021-01-01 12:00:00,86159,131749,95298,329,8058,383,25442,42278
2021-01-01 13:00:00,88388,133558,95272,329,7991,505,28325,41166
2021-01-01 14:00:00,90132,139206,95249,969,8096,1574,29724,40281
2021-01-01 15:00:00,92650,145955,95181,968,8285,3788,31069,38567
2021-01-01 16:00:00,95003,147363,95217,968,8519,11025,31668,37181
2021-01-01 17:00:00,96940,147174,95191,977,8528,17451,32031,36355
2021-01-01 18:00:00,97174,144993,95222,1020,8597,19272,31962,35478
2021-01-01 19:00:00,96207,146012,95211,1016,8579,19368,31477,33712
2021-01-01 20:00:00,95722,146944,95172,1023,8551,18472,31309,30983
2021-01-01 21:00:00,95622,149750,95177,1012,8575,17327,31808,28584
2021-01-01 22:00:00,96552,154892,95163,1101,8337,15849,33894,25949
2021-01-01 23:00:00,100999,162069,95130,1154,8334,11974,36332,22897
2021-01-02 00:00:00,106064,169044,95143,1134,8548,3783,39870,22079
2021-01-02 01:00:00,107381,171938,95029,997,8124,309,40665,23746
2021-01-02 02:00:00,105973,169471,94962,957,8138,19,39138,25835
2021-01-02 03:00:00,104047,163258,94894,953,8015,16,37546,25892
2021-01-02 04:00:00,100862,158454,94971,952,7915,18,34767,25427
2021-01-02 05:00:00,97778,150978,95216,902,7755,-13,31018,25962
2021-01-02 06:00:00,92644,143805,95063,929,7784,-24,29170,26140
2021-01-02 07:00:00,87884,138822,95111,943,7530,-29,26546,25405
2021-01-02 08:00:00,86212,135943,95125,947,7359,-20,24410,25416
2021-01-02 09:00:00,85638,134328,95101,943,7256,-19,24420,24934
2021-01-02 10:00:00,85216,133452,95168,948,7131,-21,24479,24768
2021-01-02 11:00:00,86527,135579,95167,944,7389,-9,25093,23730
2021-01-02 12:00:00,89153,139648,95170,943,7402,-7,26300,23731
2021-01-02 13:00:00,93030,144608,95195,944,7579,146,28335,24694
2021-01-02 14:00:00,96740,149683,95202,945,7819,1128,30324,25531
2021-01-02 15:00:00,99660,154084,95152,955,8130,3756,31749,25925
2021-01-02 16:00:00,99617,153273,95193,959,8292,10634,32632,25305
2021-01-02 17:00:00,98406,148063,95180,965,8346,17285,32119,25296
2021-01-02 18:00:00,95209,141487,95140,967,8079,20533,31280,27661
2021-01-02 19:00:00,92272,137989,95164,960,8138,19734,31077,29611
2021-01-02 20:00:00,91347,136613,95179,961,8126,17662,31115,30265
2021-01-02 21:00:00,91265,136188,95179,951,8066,16532,33056,31162
2021-01-02 22:00:00,92462,140012,95197,961,8236,15057,35636,31136
2021-01-02 23:00:00,95995,149779,95276,1030,8320,10382,37047,31114
2021-01-03 00:00:00,101009,157918,95273,1002,8422,2867,39673,34085
2021-01-03 01:00:00,102539,159196,95313,977,8615,173,39338,40595
2021-01-03 02:00:00,98901,155366,95312,970,8491,-18,39382,45815
2021-01-03 03:00:00,95870,149656,95340,979,8301,-11,37720,49678
2021-01-03 04:00:00,92893,142253,95377,974,8091,-15,34900,51383
2021-01-03 05:00:00,88803,135295,95341,956,7621,-20,30775,53714
2021-01-03 06:00:00,83615,129023,95884,968,7723,-20,29121,53718
2021-01-03 07:00:00,80301,124804,95832,965,7576,-21,26013,53408
2021-01-03 08:00:00,78179,123551,95674,965,7129,-21,24641,51611
2021-01-03 09:00:00,77835,122006,95995,972,6783,-11,23149,50089
2021-01-03 10:00:00,78457,121320,95984,959,6852,-18,22496,49496
2021-01-03 11:00:00,80544,122069,95945,966,6851,-19,22212,49727
2021-01-03 12:00:00,82623,127023,95930,970,6974,-16,23163,49698
2021-01-03 13:00:00,86021,133404,95899,967,7251,110,25526,48628
2021-01-03 14:00:00,91810,138963,95872,967,7498,1069,28262,47598
2021-01-03 15:00:00,96459,144288,95778,964,7980,4238,30274,45264
2021-01-03 16:00:00,97013,146422,95843,964,7984,12085,31347,39076
2021-01-03 17:00:00,96950,146165,95873,956,7843,18539,30862,32743
2021-01-03 18:00:00,95996,145849,95909,958,7807,20529,30806,28079
2021-01-03 19:00:00,95949,144967,95855,1009,7765,21604,30051,24425
2021-01-03 20:00:00,94175,143528,95889,989,7652,22129,29689,22863
2021-01-03 21:00:00,93002,144750,95806,1096,7574,20090,30030,22399
2021-01-03 22:00:00,93826,151014,95828,1072,7753,17737,32323,23273
2021-01-03 23:00:00,98464,158821,95876,1054,8157,11691,34620,24865
2021-01-04 00:00:00,104798,166580,95822,1032,8272,3599,36909,27710
2021-01-04 01:00:00,107663,172780,95924,1081,8221,178,38658,30526
2021-01-04 02:00:00,104231,169890,95955,1008,8259,10,40258,35634
2021-01-04 03:00:00,98625,162494,95990,997,8093,20,38890,39570
2021-01-04 04:00:00,94753,154383,96037,975,7979,21,36701,42888
2021-01-04 05:00:00,88965,140909,95965,964,7681,11,33481,44183
2021-01-04 06:00:00,86811,135970,95823,967,7364,10,31102,43945
2021-01-04 07:00:00,84495,133859,95806,975,7328,7,28166,42872
2021-01-04 08:00:00,83049,132623,95828,977,7108,6,26516,42701
2021-01-04 09:00:00,84823,133568,95836,978,7030,-11,25310,42168
2021-01-04 10:00:00,87432,137695,95833,981,7290,-7,25111,42247
2021-01-04 11:00:00,91891,146651,95836,994,7723,-9,28496,43309
2021-01-04 12:00:00,96689,161124,95874,993,8073,-11,33227,45342
2021-01-04 13:00:00,101994,173882,95865,1025,8327,476,39643,47339
2021-01-04 14:00:00,104691,180205,95842,1036,8413,2941,41543,48202
2021-01-04 15:00:00,104872,178928,95863,1077,8588,7523,41241,47789
2021-01-04 16:00:00,101686,173617,95848,1088,8463,16100,38472,43617
2021-01-04 17:00:00,100172,163438,95836,1003,8384,22530,36030,41127
2021-01-04 18:00:00,98336,159835,95803,1133,8359,23494,32116,40369
2021-01-04 19:00:00,96350,156500,95792,1003,8347,23294,31300,38624
2021-01-04 20:00:00,96062,155507,95752,996,7888,22992,31066,36478
2021-01-04 21:00:00,95564,155583,95768,1016,8074,21329,30969,35672
2021-01-04 22:00:00,97030,160523,95762,1030,8475,18058,34297,34757
2021-01-04 23:00:00,101108,169404,95791,1005,8855,12376,37435,33677
2021-01-05 00:00:00,108110,178423,95760,1031,8997,3891,40200,33421
2021-01-05 01:00:00,113397,182870,95769,1044,9000,228,41026,33736
2021-01-05 02:00:00,114025,178593,95744,986,9003,82,41511,34488
2021-01-05 03:00:00,111203,171027,95711,966,8531,91,39014,35380
2021-01-05 04:00:00,106825,162937,95517,969,8260,89,36450,35603
2021-01-05 05:00:00,100191,154057,95666,963,7572,81,31428,35907
2021-01-05 06:00:00,96841,147017,95585,961,7930,55,28232,36517
2021-01-05 07:00:00,93960,143586,95477,946,7944,25,24366,36036
2021-01-05 08:00:00,93592,140492,95579,963,7781,44,23602,35470
2021-01-05 09:00:00,93678,138807,95588,955,7831,54,22631,35331
2021-01-05 10:00:00,94521,141454,95601,977,8106,50,23155,35766
