period,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2020-01-01 00:00:00,81278,174975,95664,1292,6261,2905,38969,30093
2020-01-01 01:00:00,81497,175232,95639,1252,6252,69,38670,34823
2020-01-01 02:00:00,77795,168748,95571,1250,6322,-15,36896,39839
2020-01-01 03:00:00,74247,159358,95565,1254,6311,-15,33750,44767
2020-01-01 04:00:00,70363,152005,95806,1204,6323,-29,30242,47604
2020-01-01 05:00:00,69324,144274,95612,1209,6063,-26,27070,50465
2020-01-01 06:00:00,67552,144234,99947,1220,5656,-28,24190,53712
2020-01-01 07:00:00,67810,137393,99931,1174,5642,-29,21392,55214
2020-01-01 08:00:00,66976,133261,99901,1097,5565,-28,19909,56751
2020-01-01 09:00:00,65723,130629,99814,1136,5665,-33,19175,58387
2020-01-01 10:00:00,64937,128826,99840,1215,5722,-28,19678,58396
2020-01-01 11:00:00,64218,130470,99866,1183,5782,-37,21470,58070
2020-01-01 12:00:00,65217,134215,99862,1194,5812,-34,24812,57024
2020-01-01 13:00:00,67562,137098,99791,1104,5764,144,27527,57089
2020-01-01 14:00:00,68165,138643,99799,1091,5749,2193,28430,59264
2020-01-01 15:00:00,67770,138518,99869,1186,5575,5254,29222,58953
2020-01-01 16:00:00,67999,138038,99886,1076,5408,10477,28099,57719
2020-01-01 17:00:00,67484,134848,99882,1166,5378,15391,27097,57921
2020-01-01 18:00:00,65970,131354,99929,1188,5356,17479,25521,58960
2020-01-01 19:00:00,64427,128553,99816,1219,5271,17233,24555,60590
2020-01-01 20:00:00,63345,127844,98683,1261,5201,16579,23325,60916
2020-01-01 21:00:00,62567,128247,98706,1227,5223,13225,23163,62266
2020-01-01 22:00:00,62933,133329,98711,1242,5290,11344,25174,61672
2020-01-01 23:00:00,66715,144673,98736,1322,5568,7451,29390,62109
2020-01-02 00:00:00,72590,150513,98694,1374,5737,2796,34890,64352
2020-01-02 01:00:00,75292,153300,98677,1368,5762,244,35309,66199
2020-01-02 02:00:00,76170,152941,98701,1299,5799,-24,34533,66657
2020-01-02 03:00:00,74647,149864,98675,1254,5816,8,32741,65459
2020-01-02 04:00:00,71904,143755,98662,1228,5750,6,30088,63774
2020-01-02 05:00:00,69177,136999,98571,1102,5807,2,25860,63272
