date,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2021-01-01,2223291,3514437,2285705,20785,196625,140666,759791,963500
2021-01-02,2281382,3536499,2283177,23090,189477,136852,757792,630765
2021-01-03,2181234,3367651,2297628,23619,184693,152671,726373,992230
2021-01-04,2312090,3775948,2300451,24334,192594,174937,816937,970746
2021-01-05,2456246,3814559,2295908,24492,207301,176798,811967,946222
2021-01-06,2411508,3596450,2307195,24942,211990,155985,844225,1316853
2021-01-07,2726346,3913982,2321590,23762,209016,153330,876940,819492
2021-01-08,2892998,4291109,2325015,25434,200694,137525,862919,458691
2021-01-09,2945769,4263753,2311460,23788,198656,153877,839582,295321
2021-01-10,2877639,4127868,2315234,23853,199015,166287,775128,461319
2021-01-11,2905066,4450089,2321257,25602,199178,144289,839269,721566
2021-01-12,2865199,4289128,2321038,24991,191421,142674,822413,805420
2021-01-13,2699195,3949816,2314492,25632,189343,167288,807430,1150621
2021-01-14,2501429,3481221,2303346,24103,190448,177143,820075,1459664
2021-01-15,2445589,3416340,2325860,23540,195204,188379,830755,1443692
2021-01-16,2558067,3454769,2340631,22769,192221,191024,801544,1041844
2021-01-17,2588302,3337241,2350906,23311,189957,197349,725613,996458
2021-01-18,2787037,3364672,2351330,23143,193983,212084,777264,988538
2021-01-19,2741936,3366244,2351762,24005,198099,169564,816961,1308703
2021-01-20,2670020,3537754,2350615,24230,193108,158787,783189,1146622
2021-01-21,2544146,3557775,2324324,24476,182703,154627,772853,1209822
2021-01-22,2534756,3699203,2318689,21882,166081,147062,750401,907812
2021-01-23,2644042,3599808,2316569,21276,173531,157393,749654,842682
2021-01-24,2619786,3411472,2347139,24872,173704,156527,745294,898913
2021-01-25,2671649,3483977,2345094,31256,177008,116022,797230,1080750
2021-01-26,2642405,3741389,2341171,25919,175059,156414,799680,953717
2021-01-27,2764366,3897311,2337094,30200,179016,136579,825818,740712
2021-01-28,2863928,4023173,2335815,28945,186173,172268,850409,990075
2021-01-29,2918558,3906614,2339501,43348,193453,188663,892752,1286582
2021-01-30,2599729,3277614,2329496,33715,188496,192660,804321,1522961
2021-01-31,2451054,3074671,2338409,25708,183689,162245,734258,1372913
2021-02-01,2934070,3986490,2339250,20752,177306,127009,781270,761875
2021-02-02,3017307,4037497,2338099,15706,179753,200723,752875,988955
2021-02-03,3031121,3689476,2328070,27960,170763,221725,789600,1220823
2021-02-04,2798908,3339064,2307104,32971,171412,216637,781746,1762532
2021-02-05,2795003,3409267,2301377,28424,180531,200012,726829,1335696
2021-02-06,2877579,3077150,2287883,21792,179255,195410,681188,1365050
2021-02-07,3190478,3236123,2299501,24097,182711,207199,674600,964901
2021-02-08,3421683,3840557,2285894,32139,195194,223530,779839,711267
2021-02-09,3471604,4048917,2289439,36833,187500,152740,760525,465336
2021-02-10,3422683,4194078,2289839,31061,191172,166335,769395,439726
2021-02-11,3468874,4372201,2285993,29185,192432,148593,778897,536767
2021-02-12,3674483,4395269,2292192,36861,203405,133591,876738,749821
2021-02-13,3799575,4401077,2283843,38052,210868,116832,851919,528785
2021-02-14,3772003,4115871,2288878,31103,208971,140854,810266,791236
2021-02-15,3748435,4574931,2266737,48862,218537,136231,891993,616337
2021-02-16,3602377,4337339,2234780,52339,187332,202347,854029,678408
2021-02-17,3720235,4437332,2239403,108843,195932,223978,860204,437874
2021-02-18,3692491,4336522,2257861,96856,203401,187035,895769,384154
2021-02-19,3621704,4252956,2282005,55919,197863,205492,868586,568812
2021-02-20,3384633,3483252,2277215,21944,177583,241758,787292,974635
2021-02-21,3034013,2791077,2237918,24325,171805,246298,723405,1425480
2021-02-22,2927345,2893840,2199596,22555,172576,225915,713762,1373905
2021-02-23,2771707,2941284,2179672,28366,163490,267516,706474,1331422
2021-02-24,2306823,2875206,2183048,26034,153751,286530,722964,1453933
2021-02-25,2496454,3087172,2200920,22274,151594,266608,734766,993026
2021-02-26,2487274,3309426,2206428,27029,156051,236190,708094,1132908
2021-02-27,2247446,3039110,2152524,19684,158078,236575,671461,1213189
2021-02-28,1857988,2777049,2160085,22165,151654,226580,595052,1546480
2021-03-01,2241921,3304955,2142895,19327,160685,222607,704872,1160249
2021-03-02,2339259,3864888,2145256,24499,164265,247383,748870,1064969
2021-03-03,2338521,3769900,2153448,23680,162233,239570,754819,984791
