period,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2019-01-01 00:00:00,109616,130005,102934,357,8338,2258,41952,47011
2019-01-01 01:00:00,108132,130123,102939,352,8323,64,43799,48391
2019-01-01 02:00:00,103544,124526,102902,357,8236,-10,43640,49217
2019-01-01 03:00:00,98623,115430,102927,359,7989,-6,41780,51123
2019-01-01 04:00:00,95047,106956,102942,357,7707,2,39052,53426
2019-01-01 05:00:00,96725,103244,103107,1148,6493,-11,36006,53110
2019-01-01 06:00:00,91831,91984,102919,1174,6510,-18,32608,53185
2019-01-01 07:00:00,88269,88906,102893,1107,6482,-13,29858,52639
2019-01-01 08:00:00,86149,85209,102877,992,6576,-14,27549,51491
2019-01-01 09:00:00,85267,83668,102897,1021,6599,-8,25988,49167
2019-01-01 10:00:00,85731,83558,102943,963,6550,-13,25405,46656
2019-01-01 11:00:00,87354,86032,102938,1005,6597,-16,25387,44218
2019-01-01 12:00:00,91270,89153,102993,308,7295,-11,25780,41292
2019-01-01 13:00:00,94294,93865,102998,313,7353,147,27376,38800
2019-01-01 14:00:00,96505,101430,103078,170,7279,717,30070,36468
2019-01-01 15:00:00,101116,107319,103089,820,6981,1844,33054,33484
2019-01-01 16:00:00,107688,111918,103083,821,7157,6571,33599,29653
2019-01-01 17:00:00,111285,117346,103101,909,7223,12369,33743,25264
2019-01-01 18:00:00,111578,116557,103146,837,6931,14400,33536,21997
2019-01-01 19:00:00,112705,121837,103186,876,6978,14243,32517,20127
2019-01-01 20:00:00,112587,119192,103165,210,7657,13562,32547,18693
2019-01-01 21:00:00,113422,122403,103190,212,7655,13068,33178,16548
2019-01-01 22:00:00,116513,129161,103228,206,7855,12003,34332,14156
2019-01-01 23:00:00,119812,136220,103301,205,8153,9442,38722,12499
2019-01-02 00:00:00,123384,145005,103382,212,8369,3360,42030,11659
2019-01-02 01:00:00,123991,149921,103378,202,8229,215,44787,11215
2019-01-02 02:00:00,125477,149700,103395,209,8397,91,45427,10843
2019-01-02 03:00:00,123007,142130,103395,209,8104,71,42315,11073
2019-01-02 04:00:00,118728,131788,103407,209,7896,30,39575,11501
2019-01-02 05:00:00,112886,121859,103387,327,7615,39,36533,16155
2019-01-02 06:00:00,111353,116906,103445,163,7571,53,32968,12769
2019-01-02 07:00:00,106405,112543,103346,167,7654,53,28751,13578
2019-01-02 08:00:00,104503,109509,103378,173,7580,49,26933,14109
