period,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2022-01-01 00:00:00,89278,150403,96334,1047,8175,2964,43314,62075
2022-01-01 01:00:00,87322,150552,96361,955,9075,211,44023,64406
2022-01-01 02:00:00,84384,144414,96319,946,8911,82,43977,64000
2022-01-01 03:00:00,84015,138115,96326,939,8799,81,40188,60905
2022-01-01 04:00:00,82156,130088,96309,944,8626,50,36494,59715
2022-01-01 05:00:00,82049,129065,96375,935,8117,28,33052,56047
2022-01-01 06:00:00,78877,115561,96303,948,7537,26,30433,57681
2022-01-01 07:00:00,76559,109842,96308,942,7337,21,29644,57052
2022-01-01 08:00:00,74372,104339,96336,939,7316,19,27757,57862
2022-01-01 09:00:00,72299,99020,96328,937,7021,35,26702,59471
2022-01-01 10:00:00,70618,96424,96369,940,6590,17,26421,60584
2022-01-01 11:00:00,69009,96325,96313,939,6460,-6,25970,62261
2022-01-01 12:00:00,70672,98596,96313,936,6746,-8,26726,61318
2022-01-01 13:00:00,71908,101240,96320,342,7469,211,27906,61514
2022-01-01 14:00:00,73530,104454,96365,334,7816,2043,29927,62257
2022-01-01 15:00:00,75341,112018,96205,333,8235,6940,32926,61667
2022-01-01 16:00:00,77585,117459,96043,941,7705,16485,34176,60742
2022-01-01 17:00:00,80547,119564,95920,937,7184,23318,33613,62104
2022-01-01 18:00:00,84575,121239,95839,937,6735,24929,33858,62719
2022-01-01 19:00:00,85641,122139,95834,934,6949,25653,33383,62206
2022-01-01 20:00:00,85143,123508,95777,933,6958,26100,33516,61017
2022-01-01 21:00:00,85095,126107,95761,936,6958,24848,33623,60881
2022-01-01 22:00:00,85302,131121,95771,935,6732,20962,35908,61571
2022-01-01 23:00:00,86307,137342,95760,933,7292,14584,38828,63423
2022-01-02 00:00:00,88416,141609,95770,938,8153,5583,42831,64861
2022-01-02 01:00:00,89728,147083,95789,933,9101,297,45050,65564
2022-01-02 02:00:00,88608,146302,95793,930,8850,66,43590,65886
2022-01-02 03:00:00,87469,140781,95800,935,8986,58,41245,65832
2022-01-02 04:00:00,85552,134378,95828,942,8400,45,38770,65740
2022-01-02 05:00:00,81465,130296,96360,937,8093,10,35227,61564
2022-01-02 06:00:00,81714,122096,95883,918,7708,-23,31772,61336
2022-01-02 07:00:00,79202,118345,95919,937,7212,-14,29241,59477
2022-01-02 08:00:00,77311,115846,95909,949,6611,-26,27320,58423
2022-01-02 09:00:00,76566,115222,95833,931,6640,-25,26418,57205
2022-01-02 10:00:00,77137,114127,95968,938,6568,-22,25744,55992
2022-01-02 11:00:00,78741,117661,95935,932,6506,-24,26075,55185
2022-01-02 12:00:00,81022,122794,95972,946,6774,-29,26861,53928
