date,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2019-03-22,2333319,3206829,2222747,5462,163845,191322,878904,897637
2019-03-23,2080694,2944334,2180858,6017,146480,188735,839114,942215
2019-03-24,2005907,2947650,2172090,5533,136427,200470,813210,686779
2019-03-25,2164557,3457066,2162621,6392,144441,200028,878729,522312
2019-03-26,2273501,3625876,2165325,6618,147558,185631,893343,546564
2019-03-27,2088926,3312359,2167021,5506,145400,166424,893024,1160859
2019-03-28,2036702,3128476,2141780,5691,140469,202402,887554,1176391
2019-03-29,2056394,3227779,2115993,5654,137334,208174,881603,842625
2019-03-30,1842879,2774797,2101348,5638,132079,188844,823818,1048055
2019-03-31,1971238,2961467,2101498,5294,135471,187559,772772,815783
2019-04-01,2259916,3682994,2073868,5214,150636,197278,875775,719181
2019-04-02,2334328,3569995,2078384,11432,165641,167951,845411,892681
2019-04-03,2224534,3241013,2081067,9820,177975,200447,810221,1025597
2019-04-04,2134583,3335692,2097621,7877,180369,179503,800288,884512
2019-04-05,2195956,3514639,2115764,18007,178377,151997,834351,668730
2019-04-06,1994090,3074230,2070494,8055,173173,183178,789158,872105
2019-04-07,1811601,2884074,2063139,7452,172894,180649,795918,907859
2019-04-08,2085302,3427918,2055214,6773,179130,183633,913280,661517
2019-04-09,2135251,3392598,2079279,13018,178042,169552,946420,791975
2019-04-10,1955134,2995884,2096999,4370,188104,214156,937426,1383104
2019-04-11,2014467,3026337,2129998,4738,181714,194914,958352,1327884
2019-04-12,2083301,3178207,2143111,5669,182348,176185,953339,983722
2019-04-13,1977124,2875137,2099852,6674,178169,192969,881234,973281
2019-04-14,1950490,2859637,2089032,7578,174319,174800,850511,898448
2019-04-15,1969971,2955444,2078787,9490,175896,212386,929255,1160169
2019-04-16,2029855,3003146,2082715,10700,174197,178473,971182,1124607
2019-04-17,1965099,2968498,2098803,12830,180950,220548,927696,1177609
2019-04-18,1876036,3035180,2112591,11405,185599,228789,974284,1217565
2019-04-19,1820081,3161846,2120302,18138,185514,190942,950907,903085
2019-04-20,1651800,2823669,2125286,8726,167280,198330,907897,934389
2019-04-21,1489488,2415796,2106280,8280,163346,196649,903413,1195855
2019-04-22,1687281,2874602,2088986,7735,178580,213666,1029155,1095864
2019-04-23,1921886,3356329,2075397,7827,184179,223085,1042242,757566
2019-04-24,2081724,3537377,2077734,9393,191536,228603,1074855,507999
2019-04-25,2015743,3547186,2090730,10268,191057,228495,1127311,589588
2019-04-26,1890050,3380634,2076028,9086,184818,218709,1088594,937513
2019-04-27,1745328,2764879,2090837,8817,172626,229976,944899,1255311
2019-04-28,1731440,2840290,2117263,8868,181595,220423,973616,1025850
2019-04-29,1973657,3249063,2125439,12821,195983,173555,1028018,1114721
2019-04-30,2138483,3696847,2123882,9932,207713,210503,1034209,704246
2019-05-01,2188015,3801347,2119556,13061,206415,223657,1007790,627268
2019-05-02,2184408,3711808,2121945,12758,203318,216547,989220,702308
2019-05-03,2226144,3720087,2120890,8921,198660,214865,988257,494712
2019-05-04,2167457,3436735,2103332,9458,191571,224339,922797,353672
2019-05-05,1952490,3063562,2109369,12329,183302,198860,886743,628785
2019-05-06,2110496,3276939,2149165,17887,187666,215958,972756,761540
2019-05-07,2192623,3392956,2183432,18460,193763,216245,970611,880347
2019-05-08,2163553,3357021,2220961,14540,184393,214401,959682,991281
2019-05-09,2179081,3309012,2209745,9006,191536,198766,976167,1110547
2019-05-10,2288974,3394173,2225193,11551,187688,149809,1054929,604777
2019-05-11,2069666,3194205,2236408,8992,178238,196300,1006850,399977
2019-05-12,1922292,2988414,2244057,8605,178465,190063,971955,474829
2019-05-13,2125848,3339739,2226800,8771,185654,220363,1056335,539652
2019-05-14,2145404,3391898,2252073,13585,183085,235161,1054598,607120
2019-05-15,2250737,3424343,2268126,10602,183800,201048,1095296,550272
2019-05-16,2213631,3281711,2283154,9838,188255,179919,1114460,959910
2019-05-17,2215234,3209174,2262446,9039,197705,192878,1085237,1276636
