date,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2023-01-01,1765587,3107907,2301966,22281,210331,180270,601040,1120559
2023-01-02,1802310,3373045,2311175,23534,223835,179164,669451,1085173
2023-01-03,1837881,3593835,2322714,24966,219505,185258,703635,1373979
2023-01-04,1830366,3814066,2325035,23873,219787,170963,723921,1252904
2023-01-05,1832642,4142826,2298167,22766,221455,207347,754533,1131066
2023-01-06,1958943,4095366,2259949,22852,244149,262415,786657,1196575
2023-01-07,1939880,4067369,2243895,19177,236191,224411,735917,978339
2023-01-08,2019594,4146043,2267575,16652,239226,212624,705869,638844
2023-01-09,1865783,3978323,2303684,15276,241122,223218,759166,1393432
2023-01-10,2136152,4177110,2302136,18703,217321,224559,812105,1203391
2023-01-11,2159572,4016738,2286970,22309,229872,213499,775759,1199247
2023-01-12,1797421,3678206,2284263,18492,214546,197684,730633,1788894
2023-01-13,2091378,4344407,2281905,14616,215467,211386,754628,969322
2023-01-14,2058297,4148319,2286337,17256,244762,172618,747952,1523301
2023-01-15,1947890,3850669,2288416,17535,232137,193934,714984,1857510
2023-01-16,1968086,3958808,2286730,17040,230317,208947,724938,1697585
2023-01-17,2022578,4056235,2275459,14510,233546,201487,725388,1217405
2023-01-18,2024234,3738506,2280079,15056,223278,217759,756496,1267834
2023-01-19,1876494,3725204,2295357,19721,213084,236450,722033,1482081
2023-01-20,1982953,4202494,2306552,24308,202946,255937,758649,1085388
2023-01-21,2027086,4193207,2305498,25065,208107,232543,738625,965754
2023-01-22,2022748,4202601,2306383,23260,211351,235283,699027,873502
2023-01-23,2148494,4454205,2311130,24927,215843,281384,759125,1043450
2023-01-24,2334525,4610729,2308742,23985,230385,273282,779967,1082575
2023-01-25,2192612,4349207,2309150,25248,241258,242018,785051,1360667
2023-01-26,2203450,4321529,2310932,23137,238424,335594,727329,1340810
2023-01-27,2106041,4195035,2312588,23454,251530,336147,742454,1757383
2023-01-28,2006083,3699484,2299099,23665,225723,290045,719547,1640624
