Date,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wsl,wind,gas_total,total
2022-07-12,2340.742073,255858.077579,205546.420345,614916.242569,1954.931921,118900.742405,2338.925869,93613.659952,-2209.838992,227464.423764,820462.662914,1522934.1664769996
2022-07-13,2444.261265,258510.203802,254106.423469,658358.189657,2151.967365,118796.237431,3014.155835,86205.116502,-2477.706872,128795.616826,912464.613126,1512382.172152
2022-07-14,2307.231637,223323.087829,153839.735539,618688.906856,2065.226229,118829.097086,902.275665,89798.315197,-2316.676746,210882.093943,772528.642395,1420635.969981
2022-07-15,2536.17558,234275.10163,130160.603065,612621.150758,2171.071198,119138.882112,1270.246284,104803.218733,-1132.291211,150191.248064,742781.753823,1357167.6974240001
2022-07-16,2485.116817,233258.789459,145996.620725,549984.055882,1952.486789,119133.78116,1469.565259,107396.297509,-1535.435475,237942.494509,695980.676607,1399619.2081090002
2022-07-17,2479.743334,225891.423142,163711.372376,560918.503122,2129.358317,119005.808274,1886.222536,96853.867192,-1876.48859,258950.990137,724629.8754980001,1431827.28843
2022-07-18,2509.192925,231940.359131,201866.713288,606974.589318,2112.865878,118990.391777,2615.471589,103799.078536,-2234.236037,245871.69094,808841.302606,1516680.3533820002
2022-07-19,2376.448701,235562.162721,161288.881641,545204.220977,2208.820167,119018.753145,1569.558895,102019.302909,-2266.733619,393126.119061,706493.102618,1562374.2682170002
2022-07-20,2495.344769,241775.36098,212753.827754,579856.511458,2030.427496,119131.352951,2703.961776,86989.237775,-2301.896885,320499.929014,792610.339212,1568235.9539730002
2022-07-21,2273.602796,251127.428677,176396.605703,631870.462581,1677.51126,119068.716834,1324.551866,72029.03851,-2317.961548,271870.491912,808267.068284,1527638.4101390003
2022-07-22,1716.067633,234911.725027,117128.881915,581288.114919,1667.625938,119026.128807,1096.20267,87169.242728,-1427.107618,308488.566776,698416.996834,1452492.556413
2022-07-23,1763.171136,217770.667851,93528.94393,502110.705516,1636.868283,119058.168758,1352.922643,101428.38542,-1440.914678,391925.157909,595639.649446,1430574.9914459998
2022-07-24,2520.331825,225927.191308,122086.958439,519455.987215,1681.777987,119024.385878,1367.392653,99886.93445,-1516.633821,367490.877863,641542.9456539999,1459441.837618
2022-07-25,2501.981208,217898.084828,145495.686079,552746.412843,1774.307322,118960.134658,1555.800859,102770.939913,-1897.148805,377976.287611,698242.098922,1521679.6353210004
2022-07-26,2378.247931,208654.219497,163443.954068,549966.051056,1509.19369,118994.931476,2202.542901,102029.405514,-2406.030777,368246.600757,713410.005124,1517425.14689
2022-07-27,2310.048142,197639.819814,167122.088373,589086.771198,1443.883289,119052.041845,1978.129551,98752.808075,-2562.808438,326673.800949,756208.859571,1504059.391236
2022-07-28,2276.186311,197565.541563,168115.793885,598683.331586,1377.6262,119008.371124,2100.810806,102696.68826,-2570.145603,299982.416796,766799.1254710001,1491806.7665310001
2022-07-29,2086.870144,223080.095101,159373.953587,602426.409047,1338.84864,118964.550931,1540.582284,95216.184071,-1940.704075,279952.430571,761800.362634,1483979.924376
2022-07-30,2327.336844,205895.645417,155045.547677,605584.90168,1278.04315,118966.1719,1566.679971,96942.309938,-1823.915778,251776.719393,760630.449357,1439383.35597
2022-07-31,2444.408284,215197.26818,126806.119366,544819.717772,1176.433602,118970.699743,1498.25743,96480.642847,-1896.047069,342792.466617,671625.837138,1450186.0138409997
2022-08-01,2372.020922,231588.841255,133824.683311,553588.616353,1253.862326,119116.790131,1744.788896,95895.0904,-2335.222001,346399.748849,687413.299664,1485784.4424430002
2022-08-02,2358.405929,227633.524232,115097.721749,533512.281354,1185.805843,119156.576516,2023.61091,100737.271082,-2124.589848,435080.313839,648610.003103,1536785.511454
2022-08-03,2326.04364,228225.894792,144964.03536,514177.390521,1259.398725,119235.419526,2234.173007,94602.650938,-2719.672908,440527.918984,659141.425881,1547552.925493
2022-08-04,2346.691747,223616.936876,185874.054958,566807.463498,1197.480584,119242.868872,1816.864617,96504.087448,-2231.982362,328486.341595,752681.518456,1525892.7901950001
2022-08-05,2521.454648,217582.840552,162832.002684,604742.414122,1280.730467,119251.763042,1465.880409,93069.16525,-2224.014248,264050.408906,767574.416806,1466796.66008
2022-08-06,2392.525578,208303.864144,95689.386357,536984.068149,1172.060549,119235.784822,1416.502445,91997.33054,-1567.438783,322044.986174,632673.454506,1379236.5087579999
2022-08-07,2523.202733,209972.262656,120373.666967,552075.673201,1152.561147,119164.897903,1601.709846,97837.145317,-1702.757049,299462.930958,672449.340168,1404164.050728
2022-08-08,2535.065062,204533.371289,206991.405627,626351.160156,1024.684925,119029.116902,2007.491929,96822.85412,-2117.921372,212353.480025,833342.5657830001,1471648.630035
2022-08-09,2539.745636,217149.408652,207407.331753,655631.879367,1239.363129,118926.571907,1658.939608,82876.390965,-2764.892476,159572.329181,863039.21112,1447001.9601979998
2022-08-10,2495.493792,214874.706645,213136.148361,660435.048313,1244.783678,118935.277118,1106.992387,76026.68762,-1430.655529,121422.264242,873571.196674,1409677.402156
2022-08-11,2437.584051,206836.909922,222292.66314,665991.007088,1174.946965,118917.201354,2078.284999,79973.039877,-1655.59326,92258.511383,888283.6702279999,1391960.1487789997
2022-08-12,2660.294096,219110.90768,205505.809402,651701.183666,1223.442187,119044.463038,1716.518952,90042.875469,-2034.34061,118118.844698,857206.9930680001,1409124.3391880002
2022-08-13,2615.257194,227152.319635,184100.81132,646099.384759,1113.908711,119133.630626,1579.904023,89591.128723,-2013.626554,108577.400027,830200.196079,1379963.7450180002
2022-08-14,2539.6408,217863.815419,138635.059249,581957.528169,1111.225618,119276.954523,1413.157083,88726.973562,-2130.15473,189593.844074,720592.5874180001,1341118.198497
2022-08-15,2546.112031,214958.994927,135470.153946,570284.637808,1042.769677,119126.605802,1804.022984,85393.795805,-2204.474874,289923.201994,705754.791754,1420550.294974
2022-08-16,2483.781397,234037.280173,208336.265641,626275.784923,1084.245395,119118.370765,2141.378729,64053.740125,-2309.268601,184271.653805,834612.050564,1441802.500953
2022-08-17,2542.397521,242637.615783,214683.186775,630988.765159,1050.792207,119192.077399,1899.196582,82487.095452,-2209.016198,177243.00205,845671.951934,1472724.1289279999
2022-08-18,2141.446686,223257.081035,150513.343047,635503.108755,525.103203,119045.411945,1068.655273,70985.397037,-1798.743095,130444.897824,786016.451802,1333484.4448050002
2022-08-19,1928.01384,216917.899867,102405.36079,615086.480037,451.923938,119317.585572,1368.694505,64775.823092,-1852.674307,141920.261932,717491.8408270001,1264172.0435730002
2022-08-20,1649.069022,216942.721683,81929.854044,569274.196544,502.163777,119435.505535,1476.062149,58103.5987,-1606.103114,249600.265471,651204.050588,1298913.4369249998
2022-08-21,2019.154945,224222.945419,83001.221991,598467.148747,478.468323,119468.169348,1928.695323,57174.874152,-2132.398063,186017.425555,681468.370738,1272778.1038030002
2022-08-22,2026.535271,214013.423692,96172.474974,603131.176974,664.20358,119458.830464,1483.028331,47250.494096,-1909.625964,198939.783801,699303.651948,1283139.9511829996
2022-08-23,2059.242981,205618.433596,122615.15037,658269.554351,355.61512,119527.094456,2095.743268,56920.283983,-2578.886875,80033.687524,780884.704721,1247494.805649
2022-08-24,2123.349221,207783.356928,129397.835685,665845.868362,400.885451,119579.801257,1600.559094,66057.539936,-2115.636144,77542.775584,795243.704047,1270331.971518
2022-08-25,2119.162615,222191.560116,155100.257583,675302.758185,372.441571,119669.537705,1550.707322,71108.27484,-1990.246677,53991.709355,830403.015768,1301406.409292
2022-08-26,2119.936162,215181.066722,152116.540956,663963.550078,421.028218,119506.436313,1666.864376,80532.610883,-2379.796551,91682.158468,816080.0910339999,1327190.1921759997
2022-08-27,2118.136314,203212.050297,91601.228056,582917.288473,366.744668,119215.563467,1536.857502,90919.475268,-1829.701035,236324.475245,674518.516529,1328211.81929
