year,coal,gas,gas_cc,nuclear,hydro,wind,solar,biomass,other,wsl,gas_total,total
2007,113.91225023109999,135.6533688371,0.0,40.91206597976,1.2889561256989999,8.824221529773,0.0,0.0,3.968229138747,0.0,135.6533688371,304.559091842179
2008,114.735668916688,125.985105588919,6.713420635317001,40.708939812793,0.769582808236,15.237835695117,0.0,0.0,4.808901284632,0.0,132.698526224236,308.95945474170196
2009,111.794664662816,29.474377327785,99.09634893779099,41.459723389678004,0.6881077210150001,18.809812576228,0.0,0.0,4.109187151692,0.0,128.57072626557598,305.43222176700505
2010,124.948749007231,25.197364469446,95.261770938859,41.334343739792,0.927024529627,24.713265107608002,0.0,0.0,3.6638203276740002,0.0,120.459135408305,316.04633812023695
2011,130.083293237915,20.426553717212,112.445125120039,39.647746817883,0.52483295826,28.295401907582,0.014303056312,0.17983660817699998,0.340049478548,0.0,132.87167883725098,331.95714290192797
2012,109.74729581302,21.666766132926,123.3349992095,38.440859387075996,0.456279692553,29.803361457722,0.123378800986,0.485008910408,0.212296346697,0.0,145.00176534242598,324.27024575088797
2013,123.224648110831,19.942207453599,114.221352050968,38.338370526837,0.296203488372,32.69232646725,0.149234162454,0.35869277016,0.551468389226,0.0,134.163559504567,329.77450341969694
2014,122.483395736006,18.125796218541,121.63629706508,39.287202679555,0.223504712983,36.142383849241,0.30282188739500004,0.6088887402650001,0.032529122351,0.0,139.762093283621,338.842820011417
2015,97.654709169233,22.883618492295998,145.01019667822598,39.384317345427995,0.5631498794540001,40.786078240984,0.42068386867,0.5596644418340001,0.004287965857,0.0,167.89381517052198,347.2667060819819
2016,101.107061331761,21.767503532639,131.724781293696,42.090728673431,1.060514204896,53.145915841803,0.836602011934,0.619692179337,0.033981234154,0.0,153.492284826335,352.386780303651
2017,115.141479687242,16.593504485591,122.250203990733,38.504177437485005,0.8558538351030001,62.203120523939994,2.257831035791,0.544240593138,0.026978293526,0.0,138.843708476324,358.37738988254904
2018,93.249395210649,23.486618644786,143.71894613402398,41.124920960871,0.811050235989,69.79601909555399,3.240229373059,0.5629128623890001,0.028772970829999998,0.0,167.20556477881,376.018865488151
2019,77.857179460951,27.379295661978,154.39078178393098,41.313512518027,0.955877182926,76.70770034765,4.397856629446,0.42067159027699996,0.023739849992,0.0,181.77007744590898,383.44661502517795
2020,68.513577405284,22.433014559479,151.363989136596,41.459094774796,0.63885917725,87.09001095653801,8.748997707127,0.35295868953299997,0.00187903794,0.0,173.797003696075,380.6023814445431
2021,74.824829402765,26.106272024925,138.314436023784,40.269798970422,0.5037418334279999,95.403162396965,15.711648286960001,0.43430826973400005,0.010428393842999999,0.0,164.420708048709,391.578625602826
2022,71.50090454453499,29.626934040396,153.358466948077,41.657555807049,0.34376228907,107.264349598319,24.193033891796997,0.625371971224,0.5700964306390001,-0.6653596079140001,182.985400988473,429.140475521106
2023,61.733996897865,36.417622090897,164.00776939755698,40.746205062367,0.34548322216399996,107.99466832903201,32.401717210534,0.37811582928,0.839387883867,-1.037193538207,200.42539148845398,444.8649659235629
2024,58.316889788237994,39.82148641806,164.568060640532,38.732552209248,0.460584972733,111.74433710312299,48.22220379851,0.29094144011399997,2.330573443655,-2.813896111698,204.389547058592,464.487629814213
2025,63.04042164180499,38.795627057695,161.81868886290903,41.912098352431,0.550061932218,114.921473999707,67.814027270527,0.36280611676400004,5.537510381093999,-6.680164928549,200.61431592060404,494.75271561515
