Date,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wsl,wind,gas_total,total
2025-01-01,292.796362,160852.712431,33392.590576,392943.040304,799.300791,122009.869343,11770.418412,146729.160664,-12125.698021,234138.509198,426335.63088,1102928.3980810002
2025-01-02,298.855389,207305.928419,49677.692111,429615.579997,862.531788,122080.055087,11132.706371,98232.155457,-14243.803994,243637.74493,479293.272108,1162843.249549
2025-01-03,354.828444,215368.25287,42884.689529,420293.663532,1014.426645,122096.610508,10450.898963,107655.848302,-13078.744523,202267.479041,463178.353061,1122386.697834
2025-01-04,353.449159,126122.109895,22864.549994,221772.461472,404.07302,122041.276713,5085.313824,45266.698101,-13093.722168,534207.972536,244637.011466,1078117.9047140002
2025-01-05,368.514137,127774.767068,34229.757116,265332.644661,939.041796,121981.615278,4255.592727,53919.988912,-6067.397578,535183.154815,299562.401777,1143985.07651
2025-01-06,1313.991934,226607.147793,133236.363807,568834.030848,1331.695506,122220.621736,10077.651477,159045.442132,-9621.040615,244168.003046,702070.394655,1466834.9482789997
2025-01-07,1561.618425,242170.947713,140751.822744,589332.908315,2432.111825,122366.766564,10044.825719,141251.856736,-13188.92058,229078.883444,730084.731059,1478991.7414850001
2025-01-08,1566.92569,261604.185185,170550.714486,655180.956767,1787.382036,122449.673096,12987.985429,79976.443782,-11324.875733,193742.662423,825731.671253,1499846.9288940001
2025-01-09,1555.114735,275656.115022,203050.452967,716281.09279,2381.43191,122494.152035,9423.542002,29532.43446,-12223.364637,159917.246842,919331.545757,1520291.582763
2025-01-10,1489.942681,236239.701254,112087.919596,537774.596711,2253.711419,122550.288549,11095.870597,78667.857397,-10227.052396,433979.676201,649862.516307,1536139.5644050003
2025-01-11,1464.721154,224587.378454,49673.152676,352832.050073,1274.404722,122655.644815,10510.849557,142512.276483,-15522.87959,498979.866553,402505.20274900005,1404490.344487
2025-01-12,1472.944042,239034.747653,35680.779582,343686.119932,1205.818417,122651.016501,12371.383059,135648.690249,-15885.244777,372434.678301,379366.899514,1264186.177736
2025-01-13,1794.111163,245355.953692,77214.156831,464715.11874,1267.913334,122632.488063,16657.236822,160899.344535,-16675.93449,212470.432552,541929.2755710001,1303006.755732
2025-01-14,1703.825528,261797.116317,75011.481707,560003.843411,1395.731196,122676.884887,15514.747715,107412.519887,-18062.432185,190265.491044,635015.3251179999,1335781.641692
2025-01-15,1871.904027,246230.825179,92995.71277,553314.554981,1208.222026,122666.925566,13539.963873,115621.183005,-17154.156562,114745.114141,646310.267751,1262194.4055680004
2025-01-16,1536.893272,238377.532675,83337.832663,451081.827111,704.901642,122672.444854,14198.776307,144847.066093,-16640.884008,191220.070593,534419.659774,1247977.3452100002
2025-01-17,1538.929207,197708.000392,35494.414854,223819.426865,463.837425,122693.095443,9756.03819,57882.321073,-17039.110873,576999.038968,259313.841719,1226355.102417
2025-01-18,1556.041527,145915.619433,49408.533984,264940.752992,441.977542,122635.782206,9465.040436,117786.033668,-12114.658948,477896.334781,314349.286976,1190046.1165690003
2025-01-19,1890.836439,214828.216083,129346.803939,498468.315999,1406.319352,122636.58428,13572.880235,174791.316424,-10388.349338,341018.288511,627815.119938,1497959.5612620001
2025-01-20,2721.06198,279134.714087,174245.935538,656625.082649,2674.148839,122654.062579,10536.735816,90398.872572,-18721.837837,357767.338709,830871.018187,1696757.9527689999
2025-01-21,1914.036497,251323.753973,185997.373537,626659.953296,2653.638181,122653.151998,11906.661102,144439.002864,-14124.445967,325851.123371,812657.326833,1673398.6948189999
