month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,37.804041610709675,36.87022985770968,36.55259703974194,36.59415493990322,37.106595948096775,38.204021602000005,40.252671302580644,43.12925573012904,44.804067524322576,40.96938121645161,35.578366011387104,33.48736286841935,32.136570486258066,31.175977696258066,30.74991879093549,30.46356778,30.82358609022581,33.70735735716129,41.437254909258066,44.74877818816129,43.802598537483874,42.690325726032256,41.468759949870964,39.78194991990322
2,34.54777928678571,33.373152214464284,32.36385940867857,31.939843396642857,32.14281806782143,32.97822194925,34.98126829253572,38.221356836428576,39.29284519867857,34.924487728535716,31.26875942907143,29.625499135107145,28.307489229035713,27.336048109285716,26.9537334245,27.20445983,27.686037386250003,29.420010557464288,35.96685844921429,41.21192319514286,40.42465758925,38.91783189714286,37.570755470571434,35.89914833821428
3,26.06345971177419,24.186495577096775,23.46994496858064,22.224852015677417,23.012003020451612,23.324924200709678,24.59352082380645,26.910869291096777,27.95125977887097,24.29186712180645,19.92823959312903,18.391184118064512,17.90944458967742,17.933248442064517,18.47544146054839,19.171087473612904,19.939323504516132,21.205196301774194,24.322226699,29.464053104838708,34.33972220758064,33.762932396322576,31.317696139354837,28.53570808496774
4,29.091979243599997,26.6345608593,25.356380396566667,24.818592965566665,24.627319363433333,24.970855322800002,26.119466413666668,28.4310813276,28.73991225443333,24.80375377916667,22.037653583066664,21.308744369266666,21.223810471466667,21.385629883833335,22.339399218066664,23.3894824933,24.730089250266666,26.050180492166668,27.580776092400004,31.195364370733333,37.10511258166667,38.10728119063333,35.4878488835,32.42599847053334
5,38.34940643448387,35.425259888,33.590894662580645,32.53320546667742,32.13813581490322,32.323684856741934,33.166020144677425,34.517866881935475,32.74446026335484,28.58995506851613,26.9839112073871,27.08973526706452,28.035222998,29.113488975032254,30.660144884129032,32.36139413325807,34.079714661580645,35.73884441035483,37.30357548070968,39.83626807864516,45.37193800570968,47.56747429370967,45.26658250296774,41.899509713
6,42.40526773573333,39.242952954233324,37.1232347545,36.09386354936667,35.415926794533334,35.292546910966664,36.3569297762,37.688539072299996,35.6615842796,31.629803667233332,30.304576581699997,31.098381913300003,32.9925465218,35.2406071708,37.23087187256666,38.771287956533335,39.63283257336667,40.43099058326667,41.27604092993333,43.390812214633335,48.774513465199995,52.04364783843334,50.213399236566666,46.457599070033325
7,45.938167762677416,42.94110855212904,40.79666380964517,39.472764038129036,39.102010259580645,39.44030905900001,40.4915566386129,41.43422135429032,39.97697302587097,36.65187068729032,34.696197085483874,34.62530820854839,36.56197647554839,38.943921419999995,41.16938967290322,42.5942212763871,43.82993295467742,44.861933555677425,45.79933653903226,47.544015842,52.5589734776129,56.01947975609678,53.74446620306451,49.88936762674194
8,50.20226125948387,47.039899862903226,45.07738745,43.851996011032256,43.30865709048388,43.41361393509678,44.38363966261291,45.964397883612904,45.13876735658064,40.8514422343871,38.67773430422581,38.842378043290324,40.710967146258064,43.916317451000005,46.541697334870975,48.30147079990323,49.67418901819355,50.56299504012903,51.334687210612906,54.12102602977419,59.91491652970968,61.1290184227742,57.85248866109677,53.79399356919355
9,44.21779904383333,41.261223582566664,39.580532298133335,38.630723074,38.07235152973333,38.18775479713334,39.4214394489,41.59598198246666,41.8671328157,36.762004581666666,33.864245324833334,33.734004726433334,34.72317811933333,37.4973489207,40.2248167923,42.35415775526666,43.88082252106666,45.32879280393333,47.385255831200006,53.858470741766666,59.10016533143333,56.76184909340001,52.50464230413333,47.835805735066664
10,36.35359779832258,33.70455264158065,32.07131430022581,31.34608289464516,30.931339533322582,31.21645329887097,32.60230540316129,34.846547347903225,36.1937875642258,32.22542626664516,27.786035134096775,27.074893446064518,27.875692769999997,30.09461731993548,32.77362707135484,34.68988082909677,36.178814628838715,37.549140620870965,41.29119047045161,49.30970727587097,50.005808851064515,46.24314605848388,42.61177053977419,38.91883163351613
11,29.625236905466668,28.486075431699998,27.7892337576,27.310775068966667,27.223212624,27.966452424666667,29.368594116033336,31.497225528066668,30.452402579033336,25.535500111633333,23.471440605799998,23.400684292033333,23.9263264628,24.444968743500002,24.8148077373,25.281303890433332,26.664580285333333,33.091916025366665,41.008715014100005,40.29584123903333,37.55099616613334,35.57946383956667,33.90780712603333,32.0588673369
12,32.643656140064515,31.57220031848387,31.053275706258063,31.008460226903225,31.073905737999997,31.795934369677422,33.455492859258065,36.171731214064515,37.56759158412903,33.66973441529032,29.433335911193545,27.90680902816129,26.87629787348387,26.283946583870964,26.179167339419358,26.44853745203226,27.364807903612903,32.954796547161294,40.70736700380645,40.02111355622581,37.77601919480645,36.257774262935484,35.108314462774196,33.57290234945162
