Date,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wind,gas_total,total
2019-01-01,1148.314991,235545.419526,40782.73961,434870.957653,4895.269472,93428.357022,53.641722,1485.935487,176177.511908,475653.697263,988388.147391
2019-01-02,1162.20308,277037.062665,91733.692448,617336.12146,5811.108914,93426.929304,55.992074,1026.608335,44647.092789,709069.813908,1132236.8110689998
2019-01-03,1162.613999,245775.354898,61966.045772,573644.233637,6837.828552,93522.637484,31.195408,9382.768256,112757.167848,635610.279409,1105079.845854
2019-01-04,1179.698363,198852.627671,52866.562216,535138.592004,6657.928108,93427.506416,42.907599,10825.450374,118378.826967,588005.15422,1017370.0997179999
2019-01-05,1136.227615,185398.002431,31988.940616,401680.279842,6520.970604,93425.248697,36.684742,9823.23725,175650.00389,433669.22045799997,905659.5956869998
2019-01-06,1122.135563,137260.205199,14384.896732,198611.71351,6538.767945,93413.506943,41.607702,4165.250898,379085.479901,212996.610242,834623.5643929999
2019-01-07,1119.04205,171146.077362,10974.625883,304918.166145,7085.658106,93269.119937,44.930458,8939.862978,241504.388634,315892.792028,839001.8715530001
2019-01-08,1087.790487,182844.928746,11427.608976,347982.860372,5566.202037,92511.349709,58.05907,6712.257062,210480.04828,359410.469348,858671.104739
2019-01-09,1083.071517,198280.285094,29993.63474,435537.466534,5447.809156,92376.484747,46.970165,4670.788991,124781.880618,465531.101274,892218.391562
2019-01-10,1075.064571,190686.597798,15031.855541,383555.826677,5467.456649,92445.325023,73.833325,6829.00009,241476.727833,398587.682218,936641.6875070002
2019-01-11,1162.835612,200644.991499,13216.584657,306011.300393,5397.557085,92371.034328,42.505217,3300.518143,299711.198869,319227.88505000004,921858.525803
2019-01-12,1113.175156,194849.337421,25603.826009,307564.562523,5380.871149,92470.979758,121.555342,9477.628903,248860.3813,333168.388532,885442.317561
2019-01-13,1099.209619,236520.196605,51001.125543,492223.560218,5495.733261,92590.888229,36.564024,7637.246559,78660.808811,543224.685761,965265.3328689999
2019-01-14,928.016193,257460.362184,65669.385302,570976.744119,5339.920585,92666.503089,95.981938,2804.772024,54020.070075,636646.129421,1049961.755509
2019-01-15,901.532073,257180.339106,35300.848216,491136.017602,5453.692361,92666.270358,190.020504,5050.264022,129605.60583,526436.8658179999,1017484.5900719999
2019-01-16,1020.203267,244095.899829,15048.621408,341001.556225,5051.253839,92667.5342,90.263175,8882.428637,229717.688818,356050.177633,937575.4493980001
2019-01-17,954.949949,232934.26604,24995.855277,358209.787387,3442.044796,92585.073392,42.26847,9230.10807,148273.136491,383205.642664,870667.4898720001
2019-01-18,1074.158214,220840.143834,17614.010739,174670.366822,3427.745424,92911.629871,42.787447,7360.63859,368837.961143,192284.377561,886779.4420840001
2019-01-19,1184.247623,199950.315824,32314.277734,278778.066551,3363.081628,103033.721106,49.641882,10980.259908,338580.510869,311092.344285,968234.1231249999
2019-01-20,1190.241494,231630.443407,44298.779878,410084.385146,2402.555433,112741.378733,62.137545,10467.582283,216068.640635,454383.165024,1028946.1445539999
2019-01-21,1099.69012,183487.088674,24961.103433,238040.164536,2968.472933,117225.895752,41.215544,6890.95377,429616.583755,263001.267969,1004331.168517
2019-01-22,1180.459328,190005.748007,11915.662086,212417.784656,2579.275294,119754.892516,201.04331,5445.905928,362781.275408,224333.446742,906282.046533
