Date,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wsl,wind,gas_total,total
2023-01-01,399.445752,106976.004454,19409.24258,216098.972378,259.665426,122562.160563,1607.441246,46505.79775,-1834.51358,394469.324652,235508.214958,908288.054801
2023-01-02,368.646727,110342.050254,17529.048495,199358.282701,308.729914,122467.821136,1793.892119,37035.749018,-2175.315598,492462.979608,216887.33119599998,981667.199972
2023-01-03,380.300449,118731.010683,22842.942905,311800.563353,451.412134,122478.669459,2010.500894,41185.328829,-2399.267783,338310.564138,334643.506258,958191.292844
2023-01-04,403.496091,120598.593758,28411.720777,364044.994716,420.671682,122471.85887,1887.791741,66822.812157,-2071.088631,276793.169447,392456.715493,981855.1092390001
2023-01-05,382.785315,133314.736512,45498.751386,476691.331516,475.38396,122453.349726,1836.613645,70645.107428,-1945.798861,158783.687833,522190.082902,1010081.747321
2023-01-06,414.175802,101615.604362,11721.133472,205785.417246,432.803141,122351.474148,1994.375234,53335.04091,-2258.147328,528643.277323,217506.55071799998,1026293.301638
2023-01-07,413.834276,119791.305693,22058.823159,374275.581161,336.658127,122245.737643,1870.41849,46416.59238,-2521.409864,250910.764342,396334.40432000003,938319.715271
2023-01-08,387.619929,111115.016856,26725.644759,423446.854328,325.409082,122271.091901,1338.497027,64844.085003,-2060.607673,182884.521297,450172.499087,933338.740182
2023-01-09,362.47278,106556.563044,33690.071344,383872.635902,447.364886,122301.356551,1905.703782,65426.645879,-2206.518914,287452.565979,417562.707246,1002015.380147
2023-01-10,288.007057,107944.093596,10834.377005,246366.43621,445.714761,122314.253119,2004.977318,51667.584089,-2103.828777,451998.218322,257200.813215,993863.661477
2023-01-11,293.123254,99932.995591,10973.066196,196587.394667,413.581097,122277.255435,2034.976496,45620.751103,-2743.804818,528719.580946,207560.460863,1006852.7247849999
2023-01-12,313.868383,97575.489627,21550.793505,270256.231498,484.971379,122270.465249,1886.123379,40287.398079,-2334.623493,441200.931297,291807.025003,995826.272396
2023-01-13,307.239346,129373.005471,47742.121613,483047.277499,889.36707,122398.708269,1489.909596,79710.031982,-1782.036182,185204.414041,530789.399112,1050162.074887
2023-01-14,1102.038739,105434.989431,16092.394928,224840.84075,325.791625,122422.378788,1416.896946,42650.296696,-1879.310874,519496.360688,240933.235678,1033781.9885910001
2023-01-15,1715.617436,75354.478238,10967.550102,127456.756304,345.6961,122364.347622,1500.188547,23332.190317,-1869.935042,601726.218681,138424.306406,964763.0433470003
2023-01-16,1060.077092,111095.012213,23610.06689,271108.990708,457.841424,121845.433356,2280.934566,40840.653106,-2797.262073,391746.244151,294719.05759800004,964045.2535060002
2023-01-17,2190.999062,136312.806788,26866.321324,403723.226916,558.293473,121779.004833,2350.508578,44915.474993,-2333.461909,241068.566792,430589.54824000003,979765.202759
2023-01-18,2270.397245,109505.84771,12838.634764,221968.181121,465.75176,121667.601838,1625.931362,35306.613342,-2388.696417,486150.744629,234806.815885,991799.703771
2023-01-19,2127.706738,113713.19393,25712.50504,415668.397604,661.902576,121775.207374,2009.984405,70273.324232,-2496.359267,230411.970472,441380.902644,982354.192371
2023-01-20,1655.560533,102976.249925,13832.722633,302037.789765,486.194226,121491.840235,1939.323612,40241.173031,-2958.311304,457154.044231,315870.512398,1041814.898191
2023-01-21,388.327386,106690.003833,19205.659358,334103.936098,388.468975,121498.421449,1856.483861,47971.504761,-2159.956405,362323.940593,353309.59545599995,994426.746314
2023-01-22,367.359919,104661.779033,46607.199907,441490.938601,532.021941,121783.793437,2163.835037,80987.999305,-2353.9328,216593.484657,488098.138508,1015188.4118370002
2023-01-23,349.245813,127599.321923,26959.47763,308263.066462,601.118193,122305.460994,2159.048167,64398.736702,-2941.563657,473870.262411,335222.544092,1126505.738295
2023-01-24,342.937961,153995.06445,49150.05396,441893.964479,547.912823,122284.803096,1434.522679,19027.601261,-2049.507794,348197.636735,491044.018439,1136874.4974439999
2023-01-25,356.838325,154969.053692,52631.342358,463741.942784,685.771924,122415.916176,1675.682314,64052.855123,-2195.666452,323887.354537,516373.285142,1184416.7572330001
2023-01-26,328.66068,175913.914899,61239.355294,528274.806057,1053.223542,122398.172512,2164.44005,84787.894286,-2105.146251,186627.615648,589514.161351,1162788.0829679999
2023-01-27,322.136815,135034.653473,19844.107953,372922.586491,661.213904,122413.895481,1529.279965,72322.019196,-2132.246458,419923.396509,392766.694444,1144973.289787
2023-01-28,335.122421,139200.762504,13384.905706,205221.519233,340.461331,122190.891812,1841.694033,43069.65232,-2557.992566,478483.787295,218606.424939,1004068.7966550001
2023-01-29,307.9136,149894.111211,20860.958877,370268.434833,336.489421,122081.956179,1933.514302,38867.894027,-2190.087936,319515.735556,391129.39371000003,1024067.008006
2023-01-30,302.682068,208941.207803,178063.635504,619508.320805,1036.315522,122132.419221,2105.678952,12336.940993,-2885.019679,190052.499039,797571.956309,1334479.6999070002
2023-01-31,292.652353,248747.70522,255488.277382,690353.500228,2070.303512,122325.725166,1336.960222,9714.271538,-1683.974629,131872.917987,945841.77761,1462202.313608
2023-02-01,313.47904,274994.544363,259827.805459,700434.934604,2102.40408,122527.859531,1699.737735,9351.799374,-1720.574965,62110.523925,960262.740063,1433363.088111
2023-02-02,331.365648,234882.511524,181889.329726,668279.773462,1954.021438,122450.740154,1656.314434,33509.956319,-2551.285479,111623.245466,850169.1031879999,1356577.258171
2023-02-03,291.221539,170962.453969,82326.408449,555384.519507,960.330983,122513.623864,1721.583593,85802.227532,-2113.22531,195878.495527,637710.927956,1215840.864963
2023-02-04,316.789132,123161.161322,29808.473041,318351.109778,336.501833,122778.637885,1205.311909,39014.196147,-1560.070596,468407.454031,348159.582819,1103379.6350779997
2023-02-05,325.050557,125400.612021,26994.594789,331436.465587,511.456074,122777.682842,1539.146287,86049.356549,-2203.680835,292205.64452,358431.060376,987240.009226
2023-02-06,314.98664,109341.842394,16727.76668,161824.845172,774.555582,122703.534234,1696.0941,31518.145252,-1870.790767,535658.152067,178552.611852,980559.922121
2023-02-07,311.9475,115922.57878,19905.683979,223171.737951,692.280332,122626.334897,1731.737438,17861.44115,-1897.113083,498865.146238,243077.42192999998,1001088.8882650001
2023-02-08,401.593429,125749.869692,32420.392232,413870.890796,628.005772,122511.674047,2567.248001,48136.770534,-2960.65242,320174.134667,446291.28302800003,1066460.5791699996
2023-02-09,409.201673,120184.818486,23979.79953,365431.308554,552.697779,122610.299058,1990.568342,90996.22589,-2420.627482,343930.490886,389411.108084,1070085.4101979998
2023-02-10,2046.093934,105154.852912,40405.653302,362064.577325,1033.505629,122620.217813,2392.540229,41642.539026,-2423.01317,439786.805242,402470.23062700004,1117146.785412
2023-02-11,1641.843506,125181.91402,76393.320419,544310.614157,960.122032,122652.964139,2131.355593,90937.31356,-2785.416344,156249.94395,620703.934576,1120459.3913760001
2023-02-12,1651.641074,94777.911519,16923.648372,339408.538511,682.075239,122670.074412,1781.593031,72595.431972,-2800.372246,405894.137273,356332.186883,1056385.051403
2023-02-13,1896.825858,108276.081841,32424.380542,336668.80386,875.26499,122686.901619,2897.528089,42862.642167,-2655.176583,386525.750543,369093.184402,1035114.1795089999
2023-02-14,1882.855542,97901.437449,14405.967184,206845.517703,726.637448,122672.713659,2197.175716,43766.506409,-3108.26862,497602.493574,221251.484887,988001.3046840002
2023-02-15,1617.162493,113453.856261,13716.284307,232732.802423,602.047363,122619.093781,1685.288325,51378.127778,-2373.414646,473045.853568,246449.08672999998,1010850.5162989999
2023-02-16,1871.499854,98833.634586,17693.235753,274645.811046,996.449119,122574.854263,2384.698605,39922.946626,-2904.847823,522337.171957,292339.046799,1081260.301809
2023-02-17,2274.392501,127110.514831,85340.266995,528753.298051,1694.617863,122669.723294,2651.421984,97990.915348,-2618.187918,223034.99945,614093.565046,1191520.1503169998
