timestamp,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wsl,wind,gas_total,total
2024-01-01 01:00:00,12.86971,5894.474076,978.607076,14778.389251,3.668662,5100.106324,21.953937,0.008418,-148.644856,14805.052758,15756.996327,41595.130212
2024-01-01 02:00:00,12.86833,5888.972518,1020.559412,15749.862638,5.9854,5099.932928,29.309798999999998,0.007862000000000001,-165.016549,13878.701102,16770.42205,41686.199989
2024-01-01 03:00:00,9.010947,5974.218145,1022.297649,16472.939133,23.581264,5100.3294160000005,21.744777,0.001733,-102.372971,12953.654971,17495.236782,41577.778034999996
2024-01-01 04:00:00,7.219987,6287.6367900000005,1021.303075,17134.525695999997,5.479349,5100.696818,33.457055,0.000147,-70.099627,11959.844219999999,18155.828771,41550.163137
2024-01-01 05:00:00,6.637564,7142.994463,1084.664029,18052.314412,5.1244130000000006,5100.465568,60.027386,0.000121,-48.527919,10783.105319,19136.978441,42235.333275
2024-01-01 06:00:00,8.876637,8974.001478,1341.67893,19070.036317,3.797726,5099.910771,50.096314,0.000147,-91.102015,8694.847961,20411.715247,43243.246281
2024-01-01 07:00:00,11.811995,10468.635822,1823.5039080000001,20296.509307,21.204442,5100.15938,117.544783,0.001576,-80.77599000000001,6641.73099,22120.013215,44481.102203
2024-01-01 08:00:00,11.289079,11258.006023,2011.393204,20811.973621,21.111098,5099.97853,479.30973600000004,86.92512500000001,-20.78925,5159.594646,22823.366825,44939.581062
2024-01-01 09:00:00,11.560414,11185.398744,2138.647289,20799.553095,21.111037,5099.389792,347.046747,3085.346849,-187.277187,3305.678075,22938.200384,45993.732041999996
2024-01-01 10:00:00,11.565592,9822.679861,1805.155143,19692.022324,20.740777,5099.720693,65.755046,8026.20911,-91.307694,2000.0769300000002,21497.177467,46543.925476
2024-01-01 11:00:00,11.550616999999999,9931.031751999999,1680.286081,18928.576029,3.673476,5099.6189030000005,10.006143999999999,9629.00186,-150.256754,1517.720875,20608.862110000002,46811.465737000006
2024-01-01 12:00:00,11.555754,8962.218666,1646.7884709999998,18672.783782,3.6780939999999998,5099.684899,35.365366,10280.872286,-189.449687,1790.832344,20319.572253,46503.779662
2024-01-01 13:00:00,11.556453,8058.379425,1613.033556,18409.49409,3.614268,5099.986529,22.13822,10575.536181,-75.03981300000001,1988.96168,20022.527646,45782.700402
2024-01-01 14:00:00,11.573017,7002.998971999999,1505.578462,18055.265455,3.601617,5099.555748,32.680432,10980.253494,-146.05667,2047.5688679999998,19560.843917,44739.076065
2024-01-01 15:00:00,11.568552,6455.110984,1435.983009,17646.120762,4.292268,5099.849855,53.125631,11360.353978,-335.927332,2191.099127,19082.103771000002,44257.504166
2024-01-01 16:00:00,11.566709,6016.74277,1462.963194,17409.180953,5.44873,5098.403811,51.578483,11355.870629000001,-338.472837,2711.972026,18872.144147,44123.727305
2024-01-01 17:00:00,11.986415000000001,7581.822155,1629.547397,19158.463427000002,23.247734,5098.0764500000005,183.868648,7323.553272,-88.845223,3386.347664,20788.010824,44396.913162
2024-01-01 18:00:00,12.064862,10925.977988999999,3066.756383,20732.163391000002,23.045599,5095.752773,657.146748,915.727025,-105.123277,5079.092954,23798.919774,46507.727724
2024-01-01 19:00:00,12.090828,11559.50055,3697.6637929999997,21170.183193,23.015556,5098.383552,404.548108,0.006035,-157.700314,6697.804578,24867.846986,48663.196192999996
2024-01-01 20:00:00,12.096898,11535.560869,3447.883616,21291.126303,43.855334,5099.388638,263.917072,0.000906,-123.523438,7504.193024,24739.009919,49198.022659999995
2024-01-01 21:00:00,12.078372,11182.180875,3617.821812,21315.159892,21.354947,5100.221766,173.32072300000002,0.001561,-194.790819,7954.257212,24932.981703999998,49376.39716
2024-01-01 22:00:00,12.083145,11049.378585,3226.3228,21307.572143999998,6.5332360000000005,5103.281767,56.542302,6.6e-05,-85.1346,8110.053627,24533.894944,48871.767672
2024-01-01 23:00:00,12.079546,10623.537685,2613.1838749999997,21077.096737,3.667408,5105.873651,10.792978999999999,7.2e-05,-253.009611,8537.059801,23690.280612,47983.291754000005
2024-01-02 00:00:00,12.094301,9913.011937,2177.427712,20483.506421,3.633622,5104.90888,9.550768,0.000102,-194.871111,9105.759977,22660.934133,46809.89372
2024-01-02 01:00:00,12.104253,9016.975432,2137.436099,20425.292135,3.6760710000000003,5103.833547,18.113496,0.000102,-296.65252,9161.399669,22562.728234,45878.830804
2024-01-02 02:00:00,12.104675,8631.508332,2150.516676,20511.008295,4.2684169999999995,5100.66048,33.251431,0.000102,-154.646265,9041.436549,22661.524971,45484.754957
2024-01-02 03:00:00,12.098364,8163.954412,2154.6361340000003,20685.564713,20.882291,5097.780309,17.00627,0.000102,-134.347579,9295.027068,22840.200847,45446.949663
