Date,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wind,gas_total,total
2021-01-01,704.718604,209114.074688,36927.542196,464762.485813,515.384891,122562.012888,12.037761,21931.216641,206066.535672,501690.028009,1062596.009154
2021-01-02,702.025932,198369.49982,29051.235817,418399.57655,577.026478,122604.3122,41.227384,29103.915349,195586.481575,447450.812367,994435.301105
2021-01-03,700.032712,183005.293584,16407.766268,337364.284884,530.761116,122609.621665,-7.014655,29325.062399,259027.9435,353772.05115200003,948963.751473
2021-01-04,581.518338,185987.780286,23442.811413,386123.991586,591.253952,122774.686873,-32.638455,29724.574226,202812.613305,409566.802999,952006.591524
2021-01-05,578.769318,194876.869599,12417.334117,302496.418043,672.740015,122766.093702,-7.722744,23612.396317,284536.106078,314913.75216,941949.004445
2021-01-06,640.238622,154858.340112,13083.43807,169663.839362,705.951017,122702.530277,13.557895,10982.543929,458438.528278,182747.277432,931088.967562
2021-01-07,620.81202,263178.554579,23647.304594,354425.6478,630.969203,122687.298188,83.161294,32200.28498,203798.741281,378072.95239399996,1001272.7739389999
2021-01-08,689.898502,287645.596561,36345.905528,464498.154469,611.098436,122598.142704,5.477417,24615.834899,113254.930134,500844.05999700003,1050265.03865
2021-01-09,745.916982,279393.137065,34559.3319,475480.705528,526.206234,122544.968188,31.689635,8954.481908,141915.963692,510040.037428,1064152.4011320001
2021-01-10,784.99682,243306.539408,68356.052862,494583.384081,683.878122,122609.033714,13.61971,5441.63357,213245.659586,562939.436943,1149024.797873
2021-01-11,723.375277,277100.992273,92856.997577,595164.558242,614.929664,122667.659538,12.578951,17232.225713,95082.423646,688021.5558190001,1201455.740881
2021-01-12,709.087757,281086.688344,74740.758308,546255.866686,475.058639,122803.375916,23.116475,30976.302991,121306.472028,620996.6249940001,1178376.7271440001
2021-01-13,733.563515,252155.976373,33790.993949,329781.394626,467.88166,122863.201486,20.229718,34309.817059,319216.202527,363572.38857500005,1093339.260913
2021-01-14,769.029752,222439.926268,25029.587491,225888.069148,744.447878,122864.427661,-13.372376,15143.230474,402631.546753,250917.656639,1015496.8930489998
2021-01-15,739.722473,229618.091006,28350.506357,291904.863163,1573.014917,122890.587198,29.4701,35852.882811,346722.032947,320255.36951999995,1057681.1709719999
2021-01-16,770.400591,263293.423866,41540.035824,406717.871379,1646.887623,122906.771418,98.99678,28981.01273,144004.571638,448257.90720300004,1009959.971849
2021-01-17,736.302057,257022.898859,21061.670724,381630.95252,1619.365824,122897.651763,-1.853843,33163.652549,126775.290781,402692.623244,944905.931234
2021-01-18,720.478144,180566.808581,15229.105029,192490.568693,1548.580014,122892.171914,16.406631,32606.400989,431275.860393,207719.673722,977346.380388
2021-01-19,717.429191,186449.942845,21179.483723,203297.141308,1648.174748,122839.612023,6.407274,7725.51887,391756.40511,224476.625031,935620.115092
2021-01-20,764.149284,247320.981698,36607.524264,415775.680989,1532.94625,122787.257372,-24.54776,8743.962274,146189.160408,452383.205253,979697.1147790002
2021-01-21,743.277384,227838.247562,25472.65852,374503.31687,1565.08602,122725.833824,110.367512,10980.673797,182075.788338,399975.97539,946015.249827
2021-01-22,754.093626,231193.733054,33652.39151,406729.452103,1662.16123,122639.912812,16.503308,29255.846022,97945.140447,440381.843613,923849.2341120001
2021-01-23,772.120716,243757.472561,13241.043048,323149.526061,1569.734443,122430.169481,17.323175,18251.371938,173421.586365,336390.56910900003,896610.3477880001
2021-01-24,759.2527,220956.174679,15574.311964,232467.680325,1575.905855,122479.08906,21.579028,17182.127018,271807.32164,248041.992289,882823.442269
2021-01-25,729.194529,178271.272181,18339.698227,207844.167781,1640.805808,122346.205146,-44.709872,21335.388039,365546.542462,226183.86600799998,916008.564301
2021-01-26,751.750111,201537.097298,31224.090832,383065.091973,1714.201725,122237.270002,39.778311,35555.607541,164380.633819,414289.182805,940505.5216120001
2021-01-27,698.054668,171119.014094,30900.081346,361738.832648,1523.918264,122397.442899,31.94661,39240.238857,241591.125304,392638.913994,969240.65469
2021-01-28,679.657755,203336.475021,36960.826577,399693.23816,1616.519491,122272.932798,17.702171,25682.864281,265381.784071,436654.06473700004,1055642.0003250001
2021-01-29,769.225665,184990.924525,18495.171203,236140.710589,1520.434259,122398.619265,42.884423,22441.140881,408504.154909,254635.881792,995303.2657190001
2021-01-30,727.967559,152762.242049,12961.705891,137352.058441,1608.465052,122350.479367,7.836126,17718.40623,432631.405062,150313.764332,878120.565777
2021-01-31,692.997064,190906.853278,12934.284748,224426.289715,1735.399027,122227.169225,10.763331,39931.287142,295326.426403,237360.574463,888191.4699329999
2021-02-01,726.386693,218654.839929,33187.413199,422675.563293,1537.216409,122389.703119,59.890035,39466.550816,143758.092147,455862.976492,982455.65564
2021-02-02,683.655852,189193.433689,16111.175211,302016.105689,1739.391467,122279.28987,19.287656,33498.873548,305633.614619,318127.2809,971174.827601
2021-02-03,727.469919,191718.193354,13530.51582,209109.46076,1548.379455,122333.30937,-4.469419,36191.199442,358683.898463,222639.97658,933837.9571640001
2021-02-04,747.144828,176079.365487,18006.059325,199117.182866,1785.52839,122277.567032,44.081155,29117.273536,353711.621143,217123.242191,900885.8237620001
2021-02-05,735.420327,229212.174433,19628.15033,351510.506595,1688.112903,122248.633104,104.66327,38748.259639,192026.220544,371138.65692499996,955902.141145
2021-02-06,789.457496,221423.721585,21152.371753,219216.409688,1782.731239,122175.963359,289.792486,33788.292994,303643.313683,240368.781441,924262.054283
2021-02-07,784.735102,208278.18489,13506.530545,166942.964558,1733.611395,122082.667949,-5.366348,38332.640199,392001.491397,180449.495103,943657.4596869999
2021-02-08,763.173125,235555.536494,16429.178323,292533.549612,1814.509717,122068.264647,0.301944,34467.703135,247879.656077,308962.727935,951511.8730739998
2021-02-09,770.803083,266376.079435,70592.104463,465780.333087,1676.101643,121885.452992,168.443273,30383.699496,88699.323337,536372.43755,1046332.3408090001
2021-02-10,762.913753,257199.412015,102984.360923,567094.622957,1757.531293,121892.640915,-1.5332,11251.879058,87638.244621,670078.9838800001,1150580.0723350001
2021-02-11,744.961136,247116.224887,192299.067683,629747.003068,1682.390365,122026.580611,872.623896,8487.867352,120783.205934,822046.070751,1323759.924932
2021-02-12,742.053183,253643.312678,221183.605393,671888.796031,1820.649447,122666.763565,761.383929,6831.166192,135175.067587,893072.401424,1414712.798005
2021-02-13,775.711284,258901.970542,217766.628388,682206.335876,2982.967536,122820.491452,2597.419029,7163.048888,97648.130217,899972.9642640001,1392862.703212
2021-02-14,765.368949,261627.020408,239273.314014,671031.026748,3742.047266,122896.589894,1295.56896,6561.526459,174472.896731,910304.340762,1481665.359429
2021-02-15,197.9004,203909.404448,274596.261251,486198.237716,4016.085757,96881.4433,1938.94854,21140.764228,72924.626579,760794.498967,1161803.6722189998
2021-02-16,116.596449,175027.894708,230157.326397,464671.948449,2801.589666,89160.957714,1438.034666,14683.426475,90355.565575,694829.274846,1068413.3400990001
2021-02-17,179.4206,175177.66757,215441.288828,509472.068492,2568.258182,89678.610875,1646.125921,23687.800307,61647.630731,724913.35732,1079498.8715060002
2021-02-18,234.420013,196219.641704,226952.765353,536391.691377,2607.001561,110554.258645,2290.106719,18445.126639,141212.931018,763344.45673,1234907.943029
2021-02-19,286.918658,211557.433439,155274.909588,486947.583857,2648.569608,122951.938763,1084.464027,32589.161358,150827.920979,642222.493445,1164168.9002769997
2021-02-20,333.664561,176280.161686,91718.392364,340357.202905,1407.040171,122960.411378,-32.494226,21856.306317,259210.719698,432075.59526900004,1014091.404854
2021-02-21,388.7451,123650.668318,63696.085054,232181.798369,1510.317439,122979.668208,2.089196,12263.887954,277746.105321,295877.883423,834419.3649589999
2021-02-22,450.00561,151435.03829,58765.207939,275859.548641,1638.097393,122773.631154,-63.228599,31011.341229,198705.075991,334624.75658,840574.717648
2021-02-23,548.268104,128951.621341,56718.707308,185818.005186,1618.195576,122751.470225,-36.748372,22905.803167,326812.540504,242536.71249399998,846087.863039
2021-02-24,623.578638,136964.636418,55607.533761,177234.71402,1578.461418,122741.534887,-29.56034,37603.188185,292549.620819,232842.247781,824873.707806
2021-02-25,735.533351,188888.785682,50759.349149,250366.796257,1582.94133,122404.539597,-27.460412,13481.568003,256453.792079,301126.145406,884645.8450360001
2021-02-26,758.54442,218119.003174,54380.61894,314070.164112,1406.773423,118954.471989,-81.310135,31515.683823,160107.287182,368450.78305200004,899231.2369280001
2021-02-27,777.836675,121525.283512,60559.527786,180735.291402,1552.776996,118858.432659,-44.404451,24707.589937,344313.46093,241294.819188,852985.7954459998
2021-02-28,711.077762,117354.69895,52502.403477,164032.121498,1462.433417,121301.97209,-36.339305,26245.105482,361416.086798,216534.524975,844989.560169
2021-03-01,719.6759,158778.824439,51998.37688,290030.097608,639.430068,122053.243088,-81.652379,15753.614937,271784.905295,342028.474488,911676.515836
2021-03-02,699.248762,172303.816048,52472.112377,343004.425542,540.810026,122152.416887,-67.394237,50376.294532,168111.602184,395476.53791899997,909593.3321209999
2021-03-03,748.453966,133715.342862,36235.94526,276236.171742,397.219853,122414.885014,-46.792363,47514.51715,289541.991697,312472.117002,906757.735181
2021-03-04,649.565028,124499.984729,31704.667757,160029.412355,631.616953,122277.127711,-34.899924,29725.160042,402498.615933,191734.080112,871981.250584
2021-03-05,682.860858,123890.029769,33336.969291,167398.035444,392.985942,122262.250861,-152.718861,11639.500089,394513.006291,200735.00473500002,853962.919684
2021-03-06,741.60368,132188.825042,40591.051733,283590.169679,428.776301,122532.619445,-70.92171,48279.746423,186877.385845,324181.221412,815159.256438
2021-03-07,752.917598,89450.401596,27470.576635,180495.95273,381.307435,122469.962785,-79.151503,40481.857291,368463.717017,207966.529365,829887.541584
2021-03-08,756.112178,98213.764263,31828.734652,165873.285817,530.6131,122412.664478,-44.102814,20437.78354,437672.23565,197702.02046899998,877681.090864
2021-03-09,769.74364,110814.59389,26540.971354,140529.5095,390.155092,122444.37636,-83.929771,5992.965363,454031.116967,167070.480854,861429.502395
2021-03-10,746.781734,97380.396787,29555.408273,164466.315093,359.630126,122413.352096,-32.880969,24989.8031,441998.438445,194021.72336600002,881877.2446849999
2021-03-11,645.012396,125940.055173,54060.77659,247002.013744,507.202386,122382.850808,-82.228432,19770.854825,328835.062198,301062.790334,899061.5996879999
2021-03-12,749.152175,126131.299723,37176.741322,195176.698978,515.141615,122189.73781,-48.217634,23163.260899,422357.807217,232353.44030000002,927411.6221050001
2021-03-13,824.913048,131182.046329,27240.239769,125520.049526,831.843977,120134.831644,-17.039862,16603.632412,456004.562891,152760.289295,878325.0797339999
2021-03-14,743.500437,117373.721575,34061.276485,117391.616675,714.660324,117063.319086,-9.246516,23739.555039,377417.826015,151452.89316,788496.2291199999
2021-03-15,734.930277,150615.946836,59010.449045,270302.604463,900.270281,122049.041725,-2.790524,49648.952816,220801.310104,329313.05350800004,874060.715023
2021-03-16,737.206006,125878.620015,39719.964333,220982.273088,840.638182,121970.056389,-51.647811,36413.976616,370383.465251,260702.237421,916874.5520690002
2021-03-17,705.111493,118120.832488,33094.570445,152148.276455,641.667186,121964.096752,-8.81473,21697.002403,449528.173945,185242.8469,897890.9164369999
2021-03-18,689.391187,124434.537864,43717.739457,248007.06049,771.948423,121904.578576,-32.522753,51966.026559,289085.118805,291724.799947,880543.878608
2021-03-19,659.965214,150501.255965,50499.720991,363137.026233,915.958053,121473.599143,-22.984082,54229.869557,134202.223369,413636.747224,875596.634443
2021-03-20,683.796386,150326.171535,34446.103751,260300.644467,1020.190401,96229.782784,0.49745,52523.845691,246724.681978,294746.748218,842255.714443
2021-03-21,631.374831,112314.833195,28862.564815,121840.841853,948.68994,89749.478835,33.616694,24277.748415,458912.3506,150703.406668,837571.499178
2021-03-22,623.082774,124338.746681,40231.016628,152078.510293,930.080236,89995.227541,14.522324,21685.825917,456065.11825,192309.52692099998,885962.1306439999
2021-03-23,649.159535,159698.372919,81130.439593,322170.809423,1109.143812,89991.04666,23.193663,52673.893751,192058.033858,403301.249016,899504.0932140001
2021-03-24,601.204237,123369.451493,43561.990015,285342.84809,938.765767,90046.296215,4.083858,41571.264278,306543.073069,328904.838105,891978.9770219999
2021-03-25,659.473143,139172.030484,47618.408195,330536.708127,1135.683704,89895.582569,5.673751,50012.719591,229922.532454,378155.11632200005,888958.8120179999
2021-03-26,726.940104,123572.811705,41366.232144,233228.721954,1013.311679,89866.391196,73.610736,41543.534564,376168.000951,274594.954098,907559.555033
2021-03-27,683.790249,132090.755983,39280.381116,287189.017378,985.080187,89929.106471,3.394873,45540.527494,327634.155428,326469.398494,923336.209179
2021-03-28,601.918968,124583.66254,38043.49811,276033.60434,955.893801,89920.713132,9.917202,52619.189712,246831.243084,314077.10245,829599.6408889999
2021-03-29,663.389678,128029.407641,17435.341405,201109.352916,946.007023,86122.193464,23.550761,30870.741778,415236.431635,218544.69432100002,880436.416301
2021-03-30,658.614411,160125.333486,44332.307667,218932.631289,1027.958666,76255.257882,-0.943823,35647.666692,387906.527923,263264.938956,924885.3541930001
