timestamp,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wind,gas_total,total
2020-01-01 01:00:00,35.29101,5764.713907,637.733668,12306.799549,27.607916,5098.685488,-0.9524190000000001,0.0035,12832.853906,12944.533217,36702.736525
2020-01-01 02:00:00,35.333704,5742.606807,634.212035,11553.530442,18.757249,5097.534591,-0.43202300000000005,0.0035,13328.726004,12187.742477,36410.272309
2020-01-01 03:00:00,34.930512,5709.616961,621.513337,10622.11997,10.673514,5098.336663,2.23386,0.0035,13920.058029,11243.633307,36019.486346
2020-01-01 04:00:00,35.016495,5591.198396,615.493605,9926.127676,13.764742,5097.670123,-3.546542,0.007,14443.900284,10541.621281,35719.631778999996
2020-01-01 05:00:00,34.90827,5489.500534,616.412799,9920.990752,53.700027,5097.827365,-1.747271,0.0035,14713.695595,10537.403551,35925.291570999994
2020-01-01 06:00:00,34.886169,5588.429118,617.903017,10679.895625000001,54.302234999999996,5098.095212,-0.029689999999999994,0.0035,14342.778248,11297.798642000002,36416.263434
2020-01-01 07:00:00,34.555414999999996,5642.355726,622.952776,11492.816879,79.560278,5097.939989,-1.061081,0.0035,14126.175122999999,12115.769655,37095.298604999996
2020-01-01 08:00:00,34.798489,5720.687383,615.1381250000001,11657.384297999999,80.602213,5097.639985,-0.879749,0.544599,14259.787169,12272.522423,37465.702511999996
2020-01-01 09:00:00,35.968655,5699.69999,618.621109,12021.169453,80.617029,5098.582316,-0.25730400000000003,114.66848900000001,14313.434032000001,12639.790562,37982.503769
2020-01-01 10:00:00,35.377767,5918.638443,626.115905,12724.075957000001,80.61558,5098.944131,-1.222652,479.605104,14014.695129,13350.191862,38976.84536399999
2020-01-01 11:00:00,35.638456,6334.381986,622.494843,12905.027170000001,114.725218,5099.358572,0.4098,507.081463,14268.512169,13527.522013,39887.629677000004
2020-01-01 12:00:00,35.575088,6413.2639070000005,657.26755,12937.217009,96.7861,5098.997344,-1.898325,637.473295,14449.907966,13594.484559,40324.589934
2020-01-01 13:00:00,34.68878,6526.967138,629.745101,13135.800134000001,124.38955899999999,4956.146888,-0.45693999999999996,613.551568,14124.888934,13765.545235000001,40145.721162
2020-01-01 14:00:00,31.891922,7002.180092,623.8974969999999,13661.339159,26.641165,3845.480764,-9.863582,609.639761,13900.980663999999,14285.236656000001,39692.187442
2020-01-01 15:00:00,33.965191,6850.51417,619.019086,13324.668032,12.682987,3845.2055689999997,-11.269701,476.918066,14027.983811,13943.687118,39179.687211000004
2020-01-01 16:00:00,33.988869,6734.006267000001,616.128215,13172.854451,16.063442000000002,3846.166702,-9.873574,309.017884,14197.962588,13788.982666,38916.314844
2020-01-01 17:00:00,33.932327,7009.831778,615.049211,13323.850578,53.541324,3846.121344,-0.782601,160.527841,13996.347588,13938.899789,39038.419389999995
2020-01-01 18:00:00,34.480669,7890.705004,634.306978,13472.08877,53.518651000000006,3846.1814409999997,1.5323689999999999,45.157247,14601.296965000001,14106.395747999999,40579.268094
2020-01-01 19:00:00,34.616372999999996,7884.356318,618.769367,13333.631914,53.484825,3846.733679,9.17677,0.0035,15850.569037000001,13952.401281,41631.341783
2020-01-01 20:00:00,34.26883,7065.112637,613.5459969999999,12823.048074,53.531003999999996,3846.48034,5.985221,0.0035,16757.758193,13436.594071,41199.733796
2020-01-01 21:00:00,34.025028,6687.499252,612.123369,12733.867564,53.525245,3845.796732,-0.610086,0.0035,16511.441822,13345.990933,40477.672426
2020-01-01 22:00:00,33.941762,6645.877117,616.241344,11977.446985999999,53.573177,3845.4570750000003,-1.806303,0.0035,16138.518811,12593.688329999999,39309.253469
2020-01-01 23:00:00,33.878894,6910.247917,616.319598,10400.592372,52.801793,3845.3747160000003,-0.954518,0.0035,15610.415846,11016.911970000001,37468.680118000004
2020-01-02 00:00:00,33.902902,6593.35039,613.570902,9552.035844,13.312307,3845.317144,-0.627353,0.0035,14980.784579,10165.606746,35631.650215
2020-01-02 01:00:00,33.869826,6475.383619,612.125421,8343.03597,37.365176,3844.954394,-1.410654,0.0035,14648.983549999999,8955.161391,33994.310802
2020-01-02 02:00:00,33.896632,6202.337987,616.445163,7306.4531640000005,15.457927,3846.190799,0.917073,0.007,14976.996796,7922.898327000001,32998.702541
