Date,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wsl,wind,gas_total,total
2024-01-01,269.655724,213694.471134,47069.049876,458514.818373,304.466057,122403.677442,3190.827204,83619.678555,-3444.115544,158805.010728,505583.868249,1087871.655093
2024-01-02,292.565588,244501.971813,91299.672329,578235.124724,584.226135,122382.112791,4299.324826,40465.464181,-4381.024788,133596.975465,669534.797053,1215657.437852
2024-01-03,323.190442,201699.073112,66953.678209,575721.845426,274.332954,122461.715486,2473.210543,67094.170593,-4708.467355,135108.531372,642675.523635,1172109.748137
2024-01-04,372.110019,192636.059538,24885.21693,452259.225068,269.300389,122379.730733,3280.274427,49030.976792,-3482.096082,326637.341339,477144.441998,1171750.235235
2024-01-05,368.651763,166720.456128,25880.96733,414793.372161,275.263555,122356.644734,3102.91913,69046.823109,-3828.777161,328783.599274,440674.339491,1131328.697184
2024-01-06,363.238178,220668.837198,57722.342671,512913.713305,272.214149,122450.081084,4050.867285,89774.570974,-4193.829958,120839.454864,570636.055976,1129055.319708
2024-01-07,360.461169,183932.536458,30171.115721,268123.461023,349.955021,122126.377467,3861.588772,54375.304656,-5076.181393,463151.249388,298294.576744,1126452.0496750001
2024-01-08,331.539889,179745.792295,15629.837705,179433.792121,260.639293,121392.604674,3332.799255,24763.525332,-4308.969921,615514.726193,195063.62982600002,1140405.256757
2024-01-09,293.25262,180144.978554,38254.126798,374131.426803,390.44553,121171.450866,4048.012927,94642.338797,-4715.843895,444526.624284,412385.553601,1257602.657179
2024-01-10,326.677092,176692.921116,20740.927384,357890.754464,206.843755,122394.111977,3328.102505,83712.541425,-4146.791805,452059.94339,378631.681848,1217352.823108
2024-01-11,356.737285,137456.319556,20867.943626,291740.392088,412.589427,122469.858696,3204.049415,55687.965865,-4923.9992,483744.410075,312608.33571400004,1115940.266033
2024-01-12,1279.727216,167303.667327,48022.05201,372739.424188,268.588824,122475.171029,5474.856395,80477.499095,-4279.180014,395445.012256,420761.47619799996,1193485.99834
2024-01-13,1613.252728,158831.97648,77597.067916,409541.28153,502.896752,122527.420707,2163.3819,40697.403893,-4547.011706,441177.483602,487138.34944599995,1254652.165508
2024-01-14,2638.339206,278828.046472,199455.664512,618058.452977,475.993161,122492.244876,2807.33466,58323.575057,-3397.296036,260511.311929,817514.1174890001,1543590.9628500002
2024-01-15,2835.89531,292976.612798,286179.098231,695911.251163,1209.350306,122523.966761,3334.664416,64242.207668,-4280.68647,260896.147685,982090.349394,1730109.194338
2024-01-16,2043.342043,275625.95446,285695.594721,704242.765644,833.977611,122613.185256,5452.922606,118409.50298,-4262.169903,196748.89124,989938.3603650001,1711666.136561
