date,coal,lignite,gas,diesel,hsd,naphtha,multi_fuel,thermal,nuclear,hydro,bhutan,wind,solar,other_re,renewables,total_ex_re,total,co2_coal,co2_lignite,co2_gas,co2_total,emissions_intensity,re_share,clean_share,fossil_share,wind_solar,wind_solar_share,month,cum_fossil,cum_clean,cum_total,cum_clean_pct
2024-01-01,3404.1,91.42,70.38,1.11,0.0,0.0,0.0,3567.01,152.32,204.7,0.0,143.32,251.34,26.62,421.28,3924.03,4345.31,3233.895,100.562,28.152,3362.609,773.8478957772862,9.695050525739243,17.911265249199708,82.0631899680345,394.65999999999997,9.082436005716508,1,3565.9,778.3,4345.31,17.911265249199708
2024-01-02,3502.3,92.1,73.89,1.11,0.0,0.0,0.0,3669.4,155.14,212.87,0.0,115.92,240.95,25.0,381.87,4037.41,4419.28,3327.185,101.31,29.556,3458.051,782.4919443891313,8.64100034394743,16.968374938904077,83.00650784743216,356.87,8.07529733350229,1,7234.1900000000005,1528.1799999999998,8764.59,17.435841265820763
2024-01-03,3578.47,95.78,69.97,1.11,0.0,0.0,0.0,3745.33,154.41,211.17,0.0,128.9,244.35,24.61,397.86,4110.91,4508.77,3399.5465,105.358,27.988,3532.8925,783.5601505510372,8.824136072587423,16.932334095551557,83.04304721686844,373.25,8.278310936242034,1,10978.41,2291.62,13273.36,17.264807102346353
2024-01-04,3583.93,96.51,74.01,1.11,0.0,0.0,0.0,3755.56,148.1,222.31,0.0,142.167,219.12,25.14,386.427,4125.97,4512.397,3404.7335,106.161,29.604000000000003,3540.4985,784.6159147787749,8.563674694402998,16.772393918354258,83.20300718221381,361.28700000000003,8.006542864025484,1,14732.86,3048.457,17785.757,17.139877712261555
2024-01-05,3603.08,97.85,81.51,1.11,0.0,0.0,0.0,3783.55,130.81,206.93,0.0,123.587,236.8,25.86,386.247,4121.29,4507.537,3422.926,107.635,32.604000000000006,3563.165,790.4904607549532,8.56891468666813,16.061698439746586,83.91367613843214,360.387,7.9952089134265565,1,18515.3,3772.444,22293.294,16.92187794230857
2024-01-06,3501.09,93.16,74.65,1.11,0.0,0.0,0.0,3670.01,127.27,194.06,0.0,185.86,248.11,24.95,458.92,3991.34,4450.26,3326.0355,102.476,29.860000000000003,3458.3715,777.1167302584568,10.312206477823766,17.53268348366163,82.44237415342025,433.97,9.751565077096618,1,22184.2,4552.6939999999995,26743.554000000004,17.02351901321716
2024-01-07,3344.98,91.38,56.65,1.11,0.0,0.0,0.0,3494.12,126.88,172.85,0.0,233.25,226.35,24.44,484.04,3793.85,4277.89,3177.731,100.518,22.66,3300.909,771.6208224147886,11.314923946151023,18.321415464165742,81.65263716458348,459.6,10.743614258431142,1,25677.21,5336.464,31021.444000000003,17.20250030914099
2024-01-08,3488.46,90.42,77.6,1.11,0.0,0.0,0.0,3657.59,132.79,185.27,0.0,214.08,185.38,23.59,423.05,3975.65,4398.7,3314.037,99.462,31.04,3444.539,783.081137608839,9.617614295132654,16.848387023438743,83.12637824811877,399.46000000000004,9.081319480755678,1,29333.69,6077.574,35420.144,17.158524256705448
2024-01-09,3460.37,94.05,71.98,1.11,0.0,0.0,0.0,3627.51,133.72,188.24,0.0,275.11,189.79,24.93,489.83,3949.47,4439.3,3287.3515,103.455,28.792,3419.5985,770.3012862388214,11.033946793413376,18.286441556101185,81.68855450183588,464.9,10.472371770324148,1,32960.09,6889.364,39859.444,17.284144756259014
2024-01-10,3504.51,103.83,70.22,1.11,0.0,0.0,0.0,3679.67,132.5,208.36,0.0,219.84,234.23,25.2,479.27,4020.53,4499.8,3329.2845,114.213,28.088,3471.5855000000006,771.4977332325882,10.650917818569713,18.225921152051203,81.74941108493711,454.07,10.090892928574604,1,36638.649999999994,7709.494,44359.244000000006,17.379678517514858
2024-01-11,3525.25,105.03,66.79,1.11,0.0,0.0,0.0,3698.18,127.49,182.79,0.0,187.98,299.74,25.49,513.21,4008.46,4521.67,3348.9875,115.533,26.716000000000005,3491.2365,772.112184215124,11.350010062653842,18.212076511554358,81.7633750362145,487.72,10.786280290246745,1,40335.719999999994,8532.984,48880.914000000004,17.45667849009534
2024-01-12,3593.05,104.91,73.49,1.11,0.0,0.0,0.0,3772.56,132.06,193.27,0.0,171.75,308.45,24.74,504.94,4097.89,4602.83,3413.3975,115.401,29.396,3558.1945,773.0449527790512,10.97020745932394,18.03825038074402,81.93763402080893,480.2,10.43271204889166,1,44107.16999999999,9363.254,53483.744000000006,17.50672877351294
2024-01-13,3668.21,98.36,74.85,1.11,0.0,0.0,0.0,3842.53,132.37,205.51,0.0,81.81,286.3,24.33,392.44,4180.41,4572.849999999999,3484.7995,108.196,29.94,3622.9355,792.270793925014,8.581956547885893,15.97078408432378,84.00494221328057,368.11,8.049903233213424,1,47948.58999999999,10093.574,58056.594000000005,17.385749498153473
2024-01-14,3483.51,102.58,57.49,1.11,0.0,0.0,0.0,3644.69,125.27,188.65,0.0,87.68,291.33,23.14,402.15,3958.61,4360.76,3309.3345,112.838,22.996,3445.1685,790.0385483264384,9.22201634577459,16.420761518634365,83.55378420275365,379.01,8.691374897953567,1,51592.16999999999,10809.644,62417.35400000001,17.318331052610784
2024-01-15,3511.72,104.74,69.81,1.11,0.0,0.0,0.0,3687.38,122.55,197.23,0.0,70.62,300.47,24.14,395.23,4007.16,4402.389999999999,3336.134,115.214,27.924,3479.272,790.3143519769944,8.97762351813447,16.241405236700977,83.73338118612844,371.09000000000003,8.429285002010275,1,55278.43999999999,11524.654,66819.744,17.247378259934667
2024-01-16,3608.17,106.05,81.23,1.11,0.0,0.0,0.0,3796.56,120.25,209.55,0.0,59.18,294.24,23.42,376.84,4126.36,4503.2,3427.7615,116.655,32.492,3576.9085000000005,794.3037173565466,8.36827145141233,15.691952389411973,84.28339847219756,353.42,7.848196837804229,1,59073.889999999985,12231.294,71322.944,17.149171520457706
2024-01-17,3656.77,106.05,91.21,1.11,0.0,0.0,0.0,3855.14,126.87,215.6,0.0,79.25,269.79,23.37,372.41,4197.61,4570.02,3473.9315,116.655,36.484,3627.0705,793.6662202791235,8.148979654355998,15.642819943895214,84.33289132213862,349.04,7.637603336528068,1,62927.919999999984,12946.173999999999,75892.964,17.058464075800224
2024-01-18,3692.32,104.08,88.4,1.11,0.0,0.0,0.0,3885.91,133.55,220.55,0.0,107.53,261.36,24.87,393.76,4240.01,4633.77,3507.704,114.488,35.36,3657.552,789.3253225775125,8.497616411690696,16.13934226342697,83.83670315963028,368.89,7.960904403973437,1,66812.71999999999,13694.034,80526.73400000001,17.005574819413386
2024-01-19,3694.64,107.51,90.54,1.11,0.0,0.0,0.0,3893.8,138.93,232.29,0.0,111.38,283.61,26.85,421.84,4265.02,4686.860000000001,3509.908,118.261,36.216,3664.385,781.8422141903106,9.000482199169593,16.920923603435988,83.05539316301318,394.99,8.427603982197034,1,70705.40999999999,14487.094,85213.59400000001,17.000918890945965
2024-01-20,3700.47,108.5,95.13,1.11,0.0,0.0,0.0,3905.21,141.37,230.3,0.0,108.65,275.74,25.07,409.46,4276.88,4686.34,3515.4465,119.35,38.052,3672.8485,783.7349616118336,8.737308859365731,16.668231498354793,83.30808264018403,384.39,8.20234980816586,1,74609.51,15268.223999999998,89899.93400000001,16.98357642843208
2024-01-21,3630.38,104.43,80.9,1.11,0.0,0.0,0.0,3816.82,141.94,219.29,0.0,91.3,277.6,43.95,412.85,4178.05,4590.900000000001,3448.861,114.87300000000002,32.36000000000001,3596.094,783.3091550676337,8.99279008473284,16.8611819033305,83.11463983096995,368.90000000000003,8.03546145635932,1,78425.22,16042.303999999998,94490.834,16.977629809045816
2024-01-22,3651.01,102.78,92.09,1.11,0.0,0.0,0.0,3846.99,139.81,236.11,0.0,92.76,293.22,25.13,411.11,4222.91,4634.02,3468.4595,113.058,36.836,3618.3535,780.8238850932881,8.871562919452225,16.983741977807604,82.99230473757126,385.98,8.329269187444163,1,82271.1,16829.334,99124.854,16.977915548808774
2024-01-23,3694.69,105.76,102.26,1.11,0.0,0.0,0.0,3903.82,133.94,239.06,0.0,97.78,280.99,26.16,404.93,4276.82,4681.75,3509.9555,116.336,40.904,3667.1955,783.2958829497517,8.649116249265766,16.616222566348053,83.36006835050998,378.77,8.090350830351897,1,86173.81000000001,17607.264,103806.604,16.96160294387436
2024-01-24,3727.48,104.57,101.78,1.11,0.0,0.0,0.0,3934.94,131.44,235.82,0.0,74.18,286.08,26.09,386.35,4302.2,4688.55,3541.106,115.027,40.712,3696.845,788.4836463298889,8.240287508931333,16.07341288884623,83.90291241428586,360.26,7.683825489756961,1,90107.64000000001,18360.874,108495.15400000001,16.923220367980672
2024-01-25,3722.77,106.24,105.33,1.11,0.0,0.0,0.0,3935.45,136.54,234.17,0.0,87.74,296.37,26.74,410.85,4306.16,4717.01,3536.6315,116.864,42.132,3695.6275,783.4682351744007,8.709966695003827,16.56897059789994,83.40749754611501,384.11,8.143082164337153,1,94041.98000000001,19142.434,113212.164,16.908460472498344
2024-01-26,3538.98,111.52,81.78,1.11,0.0,0.0,0.0,3733.39,136.36,207.73,0.23,135.52,291.15,26.7,453.37,4077.71,4531.08,3362.031,122.672,32.712,3517.415,776.2862275660549,10.005782285900935,17.59977753648137,82.37064894020853,426.66999999999996,9.416518799050115,1,97774.26000000001,19939.894,117743.244,16.935064231795753
2024-01-27,3576.34,104.67,91.01,1.11,0.0,0.0,0.0,3773.13,136.1,207.18,0.0,153.2,279.8,25.52,458.52,4116.41,4574.93,3397.523,115.137,36.404,3549.0640000000003,775.7635635955086,10.022448430904953,17.525951216739927,82.44978611694606,433.0,9.464625688261897,1,101546.28000000001,20741.694,122318.174,16.95716451751479
2024-01-28,3615.84,106.91,84.96,1.11,0.0,0.0,0.0,3808.82,140.68,194.76,0.0,153.2,279.8,25.52,458.52,4144.26,4602.780000000001,3435.048,117.601,33.984,3586.633,779.2318989827886,9.961805691343056,17.249575256692694,82.7263088828925,433.0,9.40735816180656,1,105353.99000000002,21535.654,126920.954,16.967768773625828
2024-01-29,3671.19,109.05,91.12,1.11,0.0,0.0,0.0,3872.47,124.36,223.69,0.0,99.29,293.14,25.97,418.4,4220.52,4638.92,3487.6305,119.955,36.448,3644.0335,785.5348874306951,9.01934070861321,16.52216464177007,83.45390737499245,392.43,8.459512127822855,1,109225.35000000002,22302.104,131559.874,16.95205636940637
2024-01-30,3712.92,112.13,115.42,1.11,0.0,0.0,0.0,3941.58,122.37,229.27,0.0,84.04,262.64,25.58,372.26,4293.22,4665.4800000000005,3527.274,123.343,46.168,3696.785,792.3697025815135,7.979028953076639,15.51608837675866,84.46011985904987,346.68,7.430746675583219,1,113165.82000000002,23026.004,136225.35400000002,16.90287697839273
2024-01-31,3673.98,115.49,94.83,1.11,0.0,0.0,0.0,3885.41,122.17,213.94,0.0,91.22,296.16,24.23,411.61,4221.52,4633.13,3490.281,127.039,37.932,3655.252,788.9379318085182,8.884058940716104,16.138549965142353,83.83749214893602,387.38,8.361086349832618,1,117050.12000000002,23773.724000000002,140858.48400000003,16.877736665119862
2024-02-01,3581.23,106.33,87.09,1.11,0.0,0.0,0.0,3775.76,121.97,204.85,0.0,71.63,307.1,23.5,402.23,4102.58,4504.81,3402.1685,116.963,34.836,3553.9675,788.9272799518736,8.928900441972026,16.18381241384209,83.79154725726501,378.73,8.407235821266601,2,120824.77000000002,24502.774,145363.29400000002,16.856231945321763
2024-02-02,3682.88,91.8,94.6,1.11,0.0,0.0,0.0,3870.39,122.31,219.34,0.0,64.6,295.26,23.0,382.86,4212.04,4594.9,3498.736,100.98,37.84,3637.556,791.650743215304,8.332281442468826,15.767698970597838,84.20814381161725,359.86,7.83172647935755,2,124694.05000000002,25227.284,149958.19400000002,16.822877981579317
2024-02-03,3684.3,101.74,97.95,1.11,0.0,0.0,0.0,3885.1,121.77,220.19,0.0,80.25,249.1,26.81,356.16,4227.06,4583.22,3500.085,111.914,39.18,3651.179,796.6405714759492,7.770955790906829,15.23208573884736,84.74369548047005,329.35,7.185995871897924,2,128578.04000000002,25925.404,154541.41400000002,16.775700007507368
2024-02-04,3515.8,98.69,69.15,1.11,0.0,0.0,0.0,3684.75,122.71,184.41,0.0,106.05,257.27,25.82,389.14,3991.87,4381.01,3340.01,108.559,27.660000000000004,3476.2290000000003,793.476618405345,8.882426655040732,15.892682281026522,84.08198109568342,363.32,8.293064841212413,2,132261.68000000002,26621.663999999997,158922.42400000003,16.751357882635865
2024-02-05,3532.79,103.75,106.28,1.11,0.0,0.0,0.0,3743.93,122.02,204.39,0.0,79.6,321.31,24.17,425.08,4070.34,4495.42,3356.1505,114.125,42.512,3512.7875000000004,781.4147510132536,9.4558461723265,16.71679175694373,83.25851644562688,400.90999999999997,8.918187844517309,2,136004.50000000003,27373.154,163417.84400000004,16.750407011856055
2024-02-06,3621.25,100.81,96.54,1.11,0.0,0.0,0.0,3819.71,123.05,220.1,0.0,104.58,324.63,23.32,452.53,4162.86,4615.389999999999,3440.1875,110.891,38.616,3589.6945,777.7662342727268,9.804805227727236,17.239713220334576,82.73623680772373,429.21,9.299539150537658,2,139823.10000000003,28168.834,168033.23400000005,16.763846847106443
2024-02-07,3604.95,99.18,105.83,1.11,0.0,0.0,0.0,3811.07,123.05,213.48,0.0,138.05,321.88,24.48,484.41,4147.6,4632.01,3424.7025,109.098,42.332,3576.1325,772.0476639730914,10.457878976945214,17.723191443887213,82.25284487727788,459.93,9.929382708586552,2,143633.06000000003,28989.773999999998,172665.24400000006,16.789582737334207
